STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,HOUSING20,POP20,geometry,len,west_cv,geometry_json
6,73,13319,2021,060730133192021,Block 2021,G5040,U,78661.0,U,S,170478,0,32.6184122,-116.9695847,0,1,"POLYGON ((-116.971142 32.619632, -116.97111 32.620365, -116.971108 32.620682, -116.971018 32.620706, -116.970574 32.620807, -116.970422 32.620835, -116.970125 32.620892, -116.969985 32.620914, -116.969787 32.620947, -116.969333 32.621007, -116.968876 32.621051, -116.96808 32.62107, -116.967319 32.62106, -116.967346 32.620314, -116.967462 32.61986, -116.967548 32.619661, -116.967668 32.619415, -116.967903 32.619066, -116.968449 32.618261, -116.968647 32.617831, -116.968799 32.617388, -116.968891 32.616932, -116.968926 32.616419, -116.968895 32.615954, -116.968696 32.615188, -116.96886 32.615109, -116.969002 32.61508, -116.969185 32.615069, -116.969481 32.615046, -116.969783 32.61504, -116.970143 32.615028, -116.970436 32.614993, -116.970642 32.614958, -116.970842 32.615679, -116.97095 32.616104, -116.971031 32.616533, -116.971067 32.616802, -116.971096 32.617072, -116.971117 32.617343, -116.97113 32.617613, -116.971136 32.618029, -116.971135 32.61815, -116.971142 32.619632))",15,False,"{""type"": ""Polygon"", ""coordinates"": [[[-116.971142, 32.619632], [-116.97111, 32.620365], [-116.971108, 32.620682], [-116.971018, 32.620706], [-116.970574, 32.620807], [-116.970422, 32.620835], [-116.970125, 32.620892], [-116.969985, 32.620914], [-116.969787, 32.620947], [-116.969333, 32.621007], [-116.968876, 32.621051], [-116.96808, 32.62107], [-116.967319, 32.62106], [-116.967346, 32.620314], [-116.967462, 32.61986], [-116.967548, 32.619661], [-116.967668, 32.619415], [-116.967903, 32.619066], [-116.968449, 32.618261], [-116.968647, 32.617831], [-116.968799, 32.617388], [-116.968891, 32.616932], [-116.968926, 32.616419], [-116.968895, 32.615954], [-116.968696, 32.615188], [-116.96886, 32.615109], [-116.969002, 32.61508], [-116.969185, 32.615069], [-116.969481, 32.615046], [-116.969783, 32.61504], [-116.970143, 32.615028], [-116.970436, 32.614993], [-116.970642, 32.614958], [-116.970842, 32.615679], [-116.97095, 32.616104], [-116.971031, 32.616533], [-116.971067, 32.616802], [-116.971096, 32.617072], [-116.971117, 32.617343], [-116.97113, 32.617613], [-116.971136, 32.618029], [-116.971135, 32.61815], [-116.971142, 32.619632]]]}"
6,73,13319,2019,060730133192019,Block 2019,G5040,U,78661.0,U,S,92141,0,32.6154859,-116.9675898,0,1,"POLYGON ((-116.968926 32.616419, -116.968891 32.616932, -116.968799 32.617388, -116.968647 32.617831, -116.968449 32.618261, -116.968086 32.618122, -116.96781 32.618057, -116.967596 32.61802, -116.967573 32.617865, -116.967455 32.61749, -116.966766 32.615708, -116.966602 32.615366, -116.96605 32.61399, -116.965778 32.613607, -116.966842 32.612852, -116.967995 32.614014, -116.96845 32.614647, -116.968696 32.615188, -116.968895 32.615954, -116.968926 32.616419))",15,False,"{""type"": ""Polygon"", ""coordinates"": [[[-116.968926, 32.616419], [-116.968891, 32.616932], [-116.968799, 32.617388], [-116.968647, 32.617831], [-116.968449, 32.618261], [-116.968086, 32.618122], [-116.96781, 32.618057], [-116.967596, 32.61802], [-116.967573, 32.617865], [-116.967455, 32.61749], [-116.966766, 32.615708], [-116.966602, 32.615366], [-116.96605, 32.61399], [-116.965778, 32.613607], [-116.966842, 32.612852], [-116.967995, 32.614014], [-116.96845, 32.614647], [-116.968696, 32.615188], [-116.968895, 32.615954], [-116.968926, 32.616419]]]}"
6,73,13319,2014,060730133192014,Block 2014,G5040,R,,,S,4800272,0,32.6089489,-116.9542549,315,406,"POLYGON ((-116.970642 32.614958, -116.970436 32.614993, -116.970143 32.615028, -116.969783 32.61504, -116.969481 32.615046, -116.969185 32.615069, -116.969002 32.61508, -116.96886 32.615109, -116.968696 32.615188, -116.96845 32.614647, -116.967995 32.614014, -116.966842 32.612852, -116.965529 32.61164, -116.965497 32.611594, -116.965337 32.611652, -116.962554 32.612467, -116.96292 32.613412, -116.962693 32.613471, -116.962532 32.613525, -116.962338 32.613586, -116.962269 32.613609, -116.962131 32.6134, -116.962048 32.613267, -116.962027 32.613246, -116.961976 32.61322, -116.961892 32.613221, -116.961566 32.613309, -116.961291 32.61339, -116.961146 32.613427, -116.96105 32.613454, -116.960748 32.613547, -116.960694 32.613568, -116.960441 32.613667, -116.960398 32.613698, -116.960372 32.613736, -116.960372 32.613803, -116.960629 32.61428, -116.960809 32.614613, -116.960967 32.614577, -116.961472 32.614534, -116.961729 32.614479, -116.96184 32.614447, -116.96197 32.614741, -116.960346 32.615194, -116.960232 32.61493, -116.96008 32.614621, -116.95991 32.61432, -116.959724 32.614024, -116.959522 32.613737, -116.959304 32.613459, -116.9592 32.613335, -116.955838 32.615893, -116.95538 32.616242, -116.953635 32.617569, -116.951931 32.618865, -116.951803 32.618962, -116.951015 32.61956, -116.950683 32.619819, -116.950403 32.620055, -116.950131 32.620306, -116.94953 32.620913, -116.949478 32.620965, -116.949041 32.621406, -116.948424 32.62203, -116.948327 32.622136, -116.948139 32.622353, -116.94796 32.622574, -116.94779 32.622801, -116.947673 32.62297, -116.94763 32.623033, -116.947297 32.623553, -116.946902 32.624171, -116.946796 32.624345, -116.946654 32.624605, -116.946529 32.624871, -116.94642 32.625142, -116.946328 32.625418, -116.946253 32.625697, -116.946195 32.625979, -116.946155 32.626263, -116.946133 32.626549, -116.946128 32.626835, -116.946141 32.627122, -116.946172 32.627407, -116.94622 32.62769, -116.946286 32.627971, -116.946346 32.628172, -116.946369 32.628249, -116.946469 32.628522, -116.946586 32.628791, -116.946719 32.629054, -116.946854 32.629287, -116.946954 32.629439, -116.947034 32.629561, -116.947156 32.629728, -116.947216 32.629807, -116.948366 32.631321, -116.94875 32.631826, -116.947945 32.632278, -116.947585 32.632483, -116.94727 32.632642, -116.946968 32.632775, -116.946763 32.632856, -116.946542 32.632935, -116.946236 32.633033, -116.945902 32.633121, -116.945782 32.63315, -116.945472 32.633213, -116.945362 32.633231, -116.945249 32.63325, -116.94445 32.63337, -116.944531 32.633195, -116.944629 32.63292, -116.944733 32.632304, -116.944739 32.631754, -116.944609 32.631363, -116.944817 32.629911, -116.944797 32.628696, -116.944752 32.628476, -116.944583 32.628207, -116.94457 32.627992, -116.944622 32.62786, -116.944934 32.62731, -116.944927 32.627156, -116.944778 32.627041, -116.944739 32.6267, -116.94483 32.626337, -116.944654 32.62598, -116.94468 32.625875, -116.944765 32.625804, -116.944733 32.625343, -116.944732 32.625325, -116.944641 32.625056, -116.944556 32.624753, -116.94455 32.624671, -116.944725 32.62439, -116.944823 32.624154, -116.944855 32.623967, -116.944849 32.623868, -116.944816 32.623763, -116.944699 32.62362, -116.944524 32.623373, -116.944504 32.623268, -116.944543 32.622905, -116.944465 32.622762, -116.944413 32.622581, -116.944426 32.622443, -116.944725 32.62186, -116.944725 32.62174, -116.944673 32.621503, -116.944602 32.620656, -116.944647 32.620508, -116.944764 32.62031, -116.94477 32.620145, -116.944653 32.619793, -116.944712 32.61949, -116.944653 32.619292, -116.944199 32.618858, -116.944108 32.618638, -116.944036 32.618501, -116.943867 32.618336, -116.943614 32.618143, -116.943484 32.618006, -116.943451 32.617863, -116.943425 32.61767, -116.943211 32.61734, -116.943068 32.617208, -116.942801 32.616994, -116.942749 32.616939, -116.942574 32.616735, -116.942463 32.616372, -116.942424 32.616169, -116.942444 32.616042, -116.942593 32.615377, -116.942626 32.615157, -116.942587 32.615047, -116.942379 32.614882, -116.942314 32.614404, -116.942288 32.613645, -116.942288 32.613342, -116.94232 32.613205, -116.942398 32.613089, -116.942483 32.61304, -116.942574 32.613018, -116.943113 32.612968, -116.943197 32.612886, -116.94323 32.612776, -116.943184 32.612644, -116.943106 32.612562, -116.943035 32.612446, -116.942996 32.612281, -116.943022 32.612133, -116.943587 32.611918, -116.944191 32.611489, -116.944328 32.611352, -116.944425 32.611121, -116.944373 32.610895, -116.944152 32.610334, -116.944172 32.609933, -116.944276 32.609724, -116.944399 32.609603, -116.944692 32.609355, -116.944925 32.609053, -116.945016 32.608816, -116.945023 32.608723, -116.944971 32.608487, -116.944997 32.608349, -116.945042 32.608256, -116.945205 32.608096, -116.945556 32.607904, -116.945646 32.607816, -116.945672 32.607706, -116.945679 32.607568, -116.945594 32.607238, -116.945588 32.607073, -116.945568 32.60693, -116.945497 32.606688, -116.945309 32.606199, -116.945166 32.605979, -116.945068 32.605808, -116.944977 32.605594, -116.94499 32.605517, -116.945003 32.605418, -116.945042 32.605319, -116.945081 32.605214, -116.945308 32.605011, -116.945367 32.604758, -116.945393 32.604571, -116.945315 32.604379, -116.94525 32.60428, -116.944998 32.604076, -116.944795 32.603911, -116.944704 32.603735, -116.944594 32.603581, -116.944503 32.603416, -116.944418 32.603064, -116.944438 32.602833, -116.944529 32.602635, -116.944678 32.602503, -116.94484 32.602393, -116.944886 32.602316, -116.944912 32.602014, -116.94499 32.60191, -116.945074 32.601893, -116.945334 32.601893, -116.945574 32.601783, -116.946386 32.601167, -116.94701 32.600606, -116.947211 32.600534, -116.94738 32.600413, -116.94753 32.600254, -116.94766 32.600001, -116.948127 32.599451, -116.948426 32.599165, -116.948835 32.59883, -116.949095 32.598582, -116.949258 32.598461, -116.949391 32.598264, -116.949413 32.598259, -116.951331 32.597838, -116.954389 32.597268, -116.954708 32.597194, -116.955094 32.597088, -116.955428 32.596981, -116.955772 32.596858, -116.957419 32.596182, -116.957602 32.59613, -116.957844 32.596049, -116.958013 32.595981, -116.958079 32.595955, -116.958293 32.595856, -116.958513 32.59574, -116.958763 32.595587, -116.958896 32.595492, -116.958962 32.595446, -116.959174 32.595276, -116.959371 32.595093, -116.959486 32.594985, -116.959629 32.594874, -116.959763 32.594788, -116.959924 32.594704, -116.960115 32.594627, -116.960775 32.594431, -116.960979 32.594385, -116.961183 32.594323, -116.961389 32.594241, -116.961531 32.594189, -116.961622 32.59416, -116.961823 32.594106, -116.962044 32.594062, -116.962253 32.594035, -116.96236 32.594027, -116.962413 32.594024, -116.962479 32.59402, -116.962583 32.594025, -116.962808 32.594029, -116.963037 32.594019, -116.963262 32.593996, -116.963485 32.593958, -116.96372 32.593904, -116.96476 32.593588, -116.964885 32.59355, -116.965139 32.593448, -116.96526 32.5934, -116.965362 32.593359, -116.965413 32.593338, -116.965539 32.593288, -116.964698 32.595577, -116.964434 32.596229, -116.964189 32.597166, -116.964046 32.598009, -116.963924 32.598885, -116.96391 32.599863, -116.963938 32.600352, -116.963972 32.600971, -116.964073 32.60182, -116.964223 32.602655, -116.96444 32.603328, -116.964658 32.603987, -116.964929 32.6047, -116.965154 32.605251, -116.965473 32.605903, -116.965779 32.606494, -116.966227 32.607187, -116.966764 32.607941, -116.968238 32.610095, -116.969105 32.611321, -116.969497 32.61197, -116.969606 32.612151, -116.969997 32.613016, -116.970405 32.614096, -116.970638 32.614945, -116.970642 32.614958))",15,False,"{""type"": ""Polygon"", ""coordinates"": [[[-116.970642, 32.614958], [-116.970436, 32.614993], [-116.970143, 32.615028], [-116.969783, 32.61504], [-116.969481, 32.615046], [-116.969185, 32.615069], [-116.969002, 32.61508], [-116.96886, 32.615109], [-116.968696, 32.615188], [-116.96845, 32.614647], [-116.967995, 32.614014], [-116.966842, 32.612852], [-116.965529, 32.61164], [-116.965497, 32.611594], [-116.965337, 32.611652], [-116.962554, 32.612467], [-116.96292, 32.613412], [-116.962693, 32.613471], [-116.962532, 32.613525], [-116.962338, 32.613586], [-116.962269, 32.613609], [-116.962131, 32.6134], [-116.962048, 32.613267], [-116.962027, 32.613246], [-116.961976, 32.61322], [-116.961892, 32.613221], [-116.961566, 32.613309], [-116.961291, 32.61339], [-116.961146, 32.613427], [-116.96105, 32.613454], [-116.960748, 32.613547], [-116.960694, 32.613568], [-116.960441, 32.613667], [-116.960398, 32.613698], [-116.960372, 32.613736], [-116.960372, 32.613803], [-116.960629, 32.61428], [-116.960809, 32.614613], [-116.960967, 32.614577], [-116.961472, 32.614534], [-116.961729, 32.614479], [-116.96184, 32.614447], [-116.96197, 32.614741], [-116.960346, 32.615194], [-116.960232, 32.61493], [-116.96008, 32.614621], [-116.95991, 32.61432], [-116.959724, 32.614024], [-116.959522, 32.613737], [-116.959304, 32.613459], [-116.9592, 32.613335], [-116.955838, 32.615893], [-116.95538, 32.616242], [-116.953635, 32.617569], [-116.951931, 32.618865], [-116.951803, 32.618962], [-116.951015, 32.61956], [-116.950683, 32.619819], [-116.950403, 32.620055], [-116.950131, 32.620306], [-116.94953, 32.620913], [-116.949478, 32.620965], [-116.949041, 32.621406], [-116.948424, 32.62203], [-116.948327, 32.622136], [-116.948139, 32.622353], [-116.94796, 32.622574], [-116.94779, 32.622801], [-116.947673, 32.62297], [-116.94763, 32.623033], [-116.947297, 32.623553], [-116.946902, 32.624171], [-116.946796, 32.624345], [-116.946654, 32.624605], [-116.946529, 32.624871], [-116.94642, 32.625142], [-116.946328, 32.625418], [-116.946253, 32.625697], [-116.946195, 32.625979], [-116.946155, 32.626263], [-116.946133, 32.626549], [-116.946128, 32.626835], [-116.946141, 32.627122], [-116.946172, 32.627407], [-116.94622, 32.62769], [-116.946286, 32.627971], [-116.946346, 32.628172], [-116.946369, 32.628249], [-116.946469, 32.628522], [-116.946586, 32.628791], [-116.946719, 32.629054], [-116.946854, 32.629287], [-116.946954, 32.629439], [-116.947034, 32.629561], [-116.947156, 32.629728], [-116.947216, 32.629807], [-116.948366, 32.631321], [-116.94875, 32.631826], [-116.947945, 32.632278], [-116.947585, 32.632483], [-116.94727, 32.632642], [-116.946968, 32.632775], [-116.946763, 32.632856], [-116.946542, 32.632935], [-116.946236, 32.633033], [-116.945902, 32.633121], [-116.945782, 32.63315], [-116.945472, 32.633213], [-116.945362, 32.633231], [-116.945249, 32.63325], [-116.94445, 32.63337], [-116.944531, 32.633195], [-116.944629, 32.63292], [-116.944733, 32.632304], [-116.944739, 32.631754], [-116.944609, 32.631363], [-116.944817, 32.629911], [-116.944797, 32.628696], [-116.944752, 32.628476], [-116.944583, 32.628207], [-116.94457, 32.627992], [-116.944622, 32.62786], [-116.944934, 32.62731], [-116.944927, 32.627156], [-116.944778, 32.627041], [-116.944739, 32.6267], [-116.94483, 32.626337], [-116.944654, 32.62598], [-116.94468, 32.625875], [-116.944765, 32.625804], [-116.944733, 32.625343], [-116.944732, 32.625325], [-116.944641, 32.625056], [-116.944556, 32.624753], [-116.94455, 32.624671], [-116.944725, 32.62439], [-116.944823, 32.624154], [-116.944855, 32.623967], [-116.944849, 32.623868], [-116.944816, 32.623763], [-116.944699, 32.62362], [-116.944524, 32.623373], [-116.944504, 32.623268], [-116.944543, 32.622905], [-116.944465, 32.622762], [-116.944413, 32.622581], [-116.944426, 32.622443], [-116.944725, 32.62186], [-116.944725, 32.62174], [-116.944673, 32.621503], [-116.944602, 32.620656], [-116.944647, 32.620508], [-116.944764, 32.62031], [-116.94477, 32.620145], [-116.944653, 32.619793], [-116.944712, 32.61949], [-116.944653, 32.619292], [-116.944199, 32.618858], [-116.944108, 32.618638], [-116.944036, 32.618501], [-116.943867, 32.618336], [-116.943614, 32.618143], [-116.943484, 32.618006], [-116.943451, 32.617863], [-116.943425, 32.61767], [-116.943211, 32.61734], [-116.943068, 32.617208], [-116.942801, 32.616994], [-116.942749, 32.616939], [-116.942574, 32.616735], [-116.942463, 32.616372], [-116.942424, 32.616169], [-116.942444, 32.616042], [-116.942593, 32.615377], [-116.942626, 32.615157], [-116.942587, 32.615047], [-116.942379, 32.614882], [-116.942314, 32.614404], [-116.942288, 32.613645], [-116.942288, 32.613342], [-116.94232, 32.613205], [-116.942398, 32.613089], [-116.942483, 32.61304], [-116.942574, 32.613018], [-116.943113, 32.612968], [-116.943197, 32.612886], [-116.94323, 32.612776], [-116.943184, 32.612644], [-116.943106, 32.612562], [-116.943035, 32.612446], [-116.942996, 32.612281], [-116.943022, 32.612133], [-116.943587, 32.611918], [-116.944191, 32.611489], [-116.944328, 32.611352], [-116.944425, 32.611121], [-116.944373, 32.610895], [-116.944152, 32.610334], [-116.944172, 32.609933], [-116.944276, 32.609724], [-116.944399, 32.609603], [-116.944692, 32.609355], [-116.944925, 32.609053], [-116.945016, 32.608816], [-116.945023, 32.608723], [-116.944971, 32.608487], [-116.944997, 32.608349], [-116.945042, 32.608256], [-116.945205, 32.608096], [-116.945556, 32.607904], [-116.945646, 32.607816], [-116.945672, 32.607706], [-116.945679, 32.607568], [-116.945594, 32.607238], [-116.945588, 32.607073], [-116.945568, 32.60693], [-116.945497, 32.606688], [-116.945309, 32.606199], [-116.945166, 32.605979], [-116.945068, 32.605808], [-116.944977, 32.605594], [-116.94499, 32.605517], [-116.945003, 32.605418], [-116.945042, 32.605319], [-116.945081, 32.605214], [-116.945308, 32.605011], [-116.945367, 32.604758], [-116.945393, 32.604571], [-116.945315, 32.604379], [-116.94525, 32.60428], [-116.944998, 32.604076], [-116.944795, 32.603911], [-116.944704, 32.603735], [-116.944594, 32.603581], [-116.944503, 32.603416], [-116.944418, 32.603064], [-116.944438, 32.602833], [-116.944529, 32.602635], [-116.944678, 32.602503], [-116.94484, 32.602393], [-116.944886, 32.602316], [-116.944912, 32.602014], [-116.94499, 32.60191], [-116.945074, 32.601893], [-116.945334, 32.601893], [-116.945574, 32.601783], [-116.946386, 32.601167], [-116.94701, 32.600606], [-116.947211, 32.600534], [-116.94738, 32.600413], [-116.94753, 32.600254], [-116.94766, 32.600001], [-116.948127, 32.599451], [-116.948426, 32.599165], [-116.948835, 32.59883], [-116.949095, 32.598582], [-116.949258, 32.598461], [-116.949391, 32.598264], [-116.949413, 32.598259], [-116.951331, 32.597838], [-116.954389, 32.597268], [-116.954708, 32.597194], [-116.955094, 32.597088], [-116.955428, 32.596981], [-116.955772, 32.596858], [-116.957419, 32.596182], [-116.957602, 32.59613], [-116.957844, 32.596049], [-116.958013, 32.595981], [-116.958079, 32.595955], [-116.958293, 32.595856], [-116.958513, 32.59574], [-116.958763, 32.595587], [-116.958896, 32.595492], [-116.958962, 32.595446], [-116.959174, 32.595276], [-116.959371, 32.595093], [-116.959486, 32.594985], [-116.959629, 32.594874], [-116.959763, 32.594788], [-116.959924, 32.594704], [-116.960115, 32.594627], [-116.960775, 32.594431], [-116.960979, 32.594385], [-116.961183, 32.594323], [-116.961389, 32.594241], [-116.961531, 32.594189], [-116.961622, 32.59416], [-116.961823, 32.594106], [-116.962044, 32.594062], [-116.962253, 32.594035], [-116.96236, 32.594027], [-116.962413, 32.594024], [-116.962479, 32.59402], [-116.962583, 32.594025], [-116.962808, 32.594029], [-116.963037, 32.594019], [-116.963262, 32.593996], [-116.963485, 32.593958], [-116.96372, 32.593904], [-116.96476, 32.593588], [-116.964885, 32.59355], [-116.965139, 32.593448], [-116.96526, 32.5934], [-116.965362, 32.593359], [-116.965413, 32.593338], [-116.965539, 32.593288], [-116.964698, 32.595577], [-116.964434, 32.596229], [-116.964189, 32.597166], [-116.964046, 32.598009], [-116.963924, 32.598885], [-116.96391, 32.599863], [-116.963938, 32.600352], [-116.963972, 32.600971], [-116.964073, 32.60182], [-116.964223, 32.602655], [-116.96444, 32.603328], [-116.964658, 32.603987], [-116.964929, 32.6047], [-116.965154, 32.605251], [-116.965473, 32.605903], [-116.965779, 32.606494], [-116.966227, 32.607187], [-116.966764, 32.607941], [-116.968238, 32.610095], [-116.969105, 32.611321], [-116.969497, 32.61197], [-116.969606, 32.612151], [-116.969997, 32.613016], [-116.970405, 32.614096], [-116.970638, 32.614945], [-116.970642, 32.614958]]]}"
