sequence,latitude,longitude,altitude
2022-07-10 18:04:03+00:00,32.64,-117.0827,22.163866
2022-07-10 18:04:04+00:00,32.64,-117.0827,22.163866
2022-07-10 18:10:59+00:00,32.64,-117.0827,22.363866
2022-07-10 18:10:59+00:00,32.64,-117.0827,22.463866
2022-07-10 18:10:59+00:00,32.64,-117.0827,22.563866
2022-07-10 18:10:59+00:00,32.64,-117.0827,22.663866
2022-07-10 18:11:00+00:00,32.64,-117.0827,22.663866
2022-07-10 18:11:00+00:00,32.64,-117.0827,22.763866
2022-07-10 18:11:00+00:00,32.64,-117.0827,22.863866
2022-07-10 18:11:00+00:00,32.64,-117.0827,22.963866
2022-07-10 18:11:00+00:00,32.64,-117.0827,23.063866
2022-07-10 18:11:00+00:00,32.64,-117.0827,23.163866
2022-07-10 18:11:01+00:00,32.64,-117.0827,23.163866
2022-07-10 18:11:01+00:00,32.64,-117.0827,23.263866
2022-07-10 18:11:02+00:00,32.64,-117.0827,23.163866
2022-07-10 18:11:02+00:00,32.64,-117.0827,23.263866
2022-07-10 18:11:02+00:00,32.64,-117.0827,23.363866
2022-07-10 18:11:02+00:00,32.64,-117.0827,23.463866
2022-07-10 18:11:02+00:00,32.64,-117.0827,23.663866
2022-07-10 18:11:02+00:00,32.64,-117.0827,23.863866
2022-07-10 18:11:02+00:00,32.64,-117.0827,24.063866
2022-07-10 18:11:02+00:00,32.64,-117.0827,24.363866
2022-07-10 18:11:02+00:00,32.64,-117.0827,24.663866
2022-07-10 18:11:03+00:00,32.64,-117.0827,24.963866
2022-07-10 18:11:03+00:00,32.64,-117.0827,25.363866
2022-07-10 18:11:03+00:00,32.64,-117.0827,25.763866
2022-07-10 18:11:03+00:00,32.64,-117.0827,26.163866
2022-07-10 18:11:03+00:00,32.64,-117.0827,26.563866
2022-07-10 18:11:03+00:00,32.64,-117.0827,26.963866
2022-07-10 18:11:03+00:00,32.64,-117.0827,27.363866
2022-07-10 18:11:03+00:00,32.64,-117.0827,27.763866
2022-07-10 18:11:03+00:00,32.64,-117.0827,28.163866
2022-07-10 18:11:03+00:00,32.64,-117.0827,28.563866
2022-07-10 18:11:04+00:00,32.64,-117.0827,28.963866
2022-07-10 18:11:04+00:00,32.64,-117.0827,29.363866
2022-07-10 18:11:04+00:00,32.64,-117.0827,29.763866
2022-07-10 18:11:04+00:00,32.64,-117.0827,30.163866
2022-07-10 18:11:04+00:00,32.64,-117.0827,30.563866
2022-07-10 18:11:04+00:00,32.64,-117.0827,30.963866
2022-07-10 18:11:04+00:00,32.64,-117.0827,31.363866
2022-07-10 18:11:04+00:00,32.64,-117.0827,31.763866
2022-07-10 18:11:04+00:00,32.64,-117.0827,32.163866
2022-07-10 18:11:04+00:00,32.64,-117.0827,32.563866
2022-07-10 18:11:05+00:00,32.64,-117.0827,32.963866
2022-07-10 18:11:05+00:00,32.64,-117.0827,33.363866
2022-07-10 18:11:05+00:00,32.64,-117.0827,33.763866
2022-07-10 18:11:05+00:00,32.64,-117.0827,34.163866
2022-07-10 18:11:05+00:00,32.64,-117.0827,34.563866
2022-07-10 18:11:05+00:00,32.64,-117.0827,34.963866
2022-07-10 18:11:05+00:00,32.64,-117.0827,35.363866
2022-07-10 18:11:05+00:00,32.64,-117.0827,35.763866
2022-07-10 18:11:05+00:00,32.64,-117.0827,36.163866
2022-07-10 18:11:05+00:00,32.64,-117.0827,36.563866
2022-07-10 18:11:06+00:00,32.64,-117.0827,36.963866
2022-07-10 18:11:06+00:00,32.64,-117.0827,37.363866
2022-07-10 18:11:06+00:00,32.64,-117.0827,37.763866
2022-07-10 18:11:06+00:00,32.64,-117.0827,38.163866
2022-07-10 18:11:06+00:00,32.64,-117.0827,38.563866
2022-07-10 18:11:06+00:00,32.64,-117.0827,38.963866
2022-07-10 18:11:06+00:00,32.64,-117.0827,39.363866
2022-07-10 18:11:06+00:00,32.64,-117.0827,39.763866
2022-07-10 18:11:06+00:00,32.64,-117.0827,40.163866
2022-07-10 18:11:06+00:00,32.64,-117.0827,40.563866
2022-07-10 18:11:07+00:00,32.64,-117.0827,40.963866
2022-07-10 18:11:07+00:00,32.64,-117.0827,41.363866
2022-07-10 18:11:07+00:00,32.64,-117.0827,41.763866
2022-07-10 18:11:07+00:00,32.64,-117.0827,42.263866
2022-07-10 18:11:07+00:00,32.64,-117.0827,42.663866
2022-07-10 18:11:07+00:00,32.64,-117.0827,43.063866
2022-07-10 18:11:07+00:00,32.64,-117.0827,43.463866
2022-07-10 18:11:07+00:00,32.64,-117.0827,43.963866
2022-07-10 18:11:07+00:00,32.64,-117.0827,44.363866
2022-07-10 18:11:07+00:00,32.64,-117.0827,44.763866
2022-07-10 18:11:08+00:00,32.64,-117.0827,45.163866
2022-07-10 18:11:08+00:00,32.64,-117.0827,45.563866
2022-07-10 18:11:08+00:00,32.64,-117.0827,45.963866
2022-07-10 18:11:08+00:00,32.64,-117.0827,46.363866
2022-07-10 18:11:08+00:00,32.64,-117.0827,46.763866
2022-07-10 18:11:08+00:00,32.64,-117.0827,47.163866
2022-07-10 18:11:08+00:00,32.64,-117.0827,47.563866
2022-07-10 18:11:08+00:00,32.64,-117.0827,47.963866
2022-07-10 18:11:08+00:00,32.64,-117.0827,48.363866
2022-07-10 18:11:08+00:00,32.64,-117.0827,48.863866
2022-07-10 18:11:09+00:00,32.64,-117.0827,49.263866
2022-07-10 18:11:09+00:00,32.64,-117.0827,49.663866
2022-07-10 18:11:09+00:00,32.64,-117.0827,50.063866
2022-07-10 18:11:09+00:00,32.64,-117.0827,50.463866
2022-07-10 18:11:09+00:00,32.64,-117.0827,50.863866
2022-07-10 18:11:09+00:00,32.64,-117.0827,51.263866
2022-07-10 18:11:09+00:00,32.64,-117.0827,51.663866
2022-07-10 18:11:09+00:00,32.64,-117.0827,51.963866
2022-07-10 18:11:09+00:00,32.64,-117.0827,52.363866
2022-07-10 18:11:09+00:00,32.64,-117.0827,52.763866
2022-07-10 18:11:10+00:00,32.64,-117.0827,53.163866
2022-07-10 18:11:10+00:00,32.64,-117.0827,53.563866
2022-07-10 18:11:10+00:00,32.64,-117.0827,53.963866
2022-07-10 18:11:10+00:00,32.64,-117.0827,54.363866
2022-07-10 18:11:10+00:00,32.64,-117.0827,54.763866
2022-07-10 18:11:10+00:00,32.64,-117.0827,55.163866
2022-07-10 18:11:10+00:00,32.64,-117.0827,55.563866
2022-07-10 18:11:10+00:00,32.64,-117.0827,55.963866
2022-07-10 18:11:10+00:00,32.64,-117.0827,56.363866
2022-07-10 18:11:10+00:00,32.64,-117.0827,56.763866
2022-07-10 18:11:11+00:00,32.64,-117.0827,57.163866
2022-07-10 18:11:11+00:00,32.64,-117.0827,57.563866
2022-07-10 18:11:11+00:00,32.64,-117.0827,57.963866
2022-07-10 18:11:11+00:00,32.64,-117.0827,58.363866
2022-07-10 18:11:11+00:00,32.64,-117.0827,58.763866
2022-07-10 18:11:11+00:00,32.64,-117.0827,59.163866
2022-07-10 18:11:11+00:00,32.64,-117.0827,59.563866
2022-07-10 18:11:11+00:00,32.64,-117.0827,59.963866
2022-07-10 18:11:11+00:00,32.64,-117.0827,60.363866
2022-07-10 18:11:11+00:00,32.64,-117.0827,60.763866
2022-07-10 18:11:12+00:00,32.64,-117.0827,61.163866
2022-07-10 18:11:12+00:00,32.64,-117.0827,61.563866
2022-07-10 18:11:12+00:00,32.64,-117.0827,61.963866
2022-07-10 18:11:12+00:00,32.64,-117.0827,62.363866
2022-07-10 18:11:12+00:00,32.64,-117.0827,62.763866
2022-07-10 18:11:12+00:00,32.64,-117.0827,63.163866
2022-07-10 18:11:12+00:00,32.64,-117.0827,63.563866
2022-07-10 18:11:12+00:00,32.64,-117.0827,63.963866
2022-07-10 18:11:12+00:00,32.64,-117.0827,64.363866
2022-07-10 18:11:12+00:00,32.64,-117.0827,64.763866
2022-07-10 18:11:13+00:00,32.64,-117.0827,65.163866
2022-07-10 18:11:13+00:00,32.64,-117.0827,65.463866
2022-07-10 18:11:13+00:00,32.64,-117.0827,65.863866
2022-07-10 18:11:13+00:00,32.64,-117.0827,66.263866
2022-07-10 18:11:13+00:00,32.64,-117.0827,66.563866
2022-07-10 18:11:13+00:00,32.64,-117.0827,66.963866
2022-07-10 18:11:13+00:00,32.64,-117.0827,67.263866
2022-07-10 18:11:13+00:00,32.64,-117.0827,67.563866
2022-07-10 18:11:13+00:00,32.64,-117.0827,67.963866
2022-07-10 18:11:13+00:00,32.64,-117.0827,68.263866
2022-07-10 18:11:14+00:00,32.64,-117.0827,68.563866
2022-07-10 18:11:14+00:00,32.64,-117.0827,68.763866
2022-07-10 18:11:14+00:00,32.64,-117.0827,69.063866
2022-07-10 18:11:14+00:00,32.64,-117.0827,69.363866
2022-07-10 18:11:14+00:00,32.64,-117.0827,69.663866
2022-07-10 18:11:14+00:00,32.64,-117.0827,69.863866
2022-07-10 18:11:14+00:00,32.64,-117.0827,70.163866
2022-07-10 18:11:14+00:00,32.64,-117.0827,70.363866
2022-07-10 18:11:14+00:00,32.64,-117.0827,70.563866
2022-07-10 18:11:14+00:00,32.64,-117.0827,70.863866
2022-07-10 18:11:15+00:00,32.64,-117.0827,71.063866
2022-07-10 18:11:15+00:00,32.64,-117.0827,71.263866
2022-07-10 18:11:15+00:00,32.64,-117.0827,71.463866
2022-07-10 18:11:15+00:00,32.64,-117.0827,71.663866
2022-07-10 18:11:15+00:00,32.64,-117.0827,71.863866
2022-07-10 18:11:15+00:00,32.64,-117.0827,72.063866
2022-07-10 18:11:15+00:00,32.64,-117.0827,72.263866
2022-07-10 18:11:15+00:00,32.64,-117.0827,72.463866
2022-07-10 18:11:15+00:00,32.64,-117.0827,72.563866
2022-07-10 18:11:15+00:00,32.64,-117.0827,72.763866
2022-07-10 18:11:16+00:00,32.64,-117.0827,72.963866
2022-07-10 18:11:16+00:00,32.64,-117.0827,73.163866
2022-07-10 18:11:16+00:00,32.64,-117.0827,73.263866
2022-07-10 18:11:16+00:00,32.64,-117.0827,73.463866
2022-07-10 18:11:16+00:00,32.64,-117.0827,73.563866
2022-07-10 18:11:16+00:00,32.64,-117.0827,73.763866
2022-07-10 18:11:16+00:00,32.64,-117.0827,73.863866
2022-07-10 18:11:16+00:00,32.64,-117.0827,74.063866
2022-07-10 18:11:16+00:00,32.64,-117.0827,74.163866
2022-07-10 18:11:16+00:00,32.64,-117.0827,74.263866
2022-07-10 18:11:17+00:00,32.64,-117.0827,74.463866
2022-07-10 18:11:17+00:00,32.64,-117.0827,74.563866
2022-07-10 18:11:17+00:00,32.64,-117.0827,74.663866
2022-07-10 18:11:17+00:00,32.64,-117.0827,74.763866
2022-07-10 18:11:17+00:00,32.64,-117.0827,74.863866
2022-07-10 18:11:17+00:00,32.64,-117.0827,74.963866
2022-07-10 18:11:17+00:00,32.64,-117.0827,75.063866
2022-07-10 18:11:17+00:00,32.64,-117.0827,75.163866
2022-07-10 18:11:17+00:00,32.64,-117.0827,75.263866
2022-07-10 18:11:17+00:00,32.64,-117.0827,75.363866
2022-07-10 18:11:18+00:00,32.64,-117.0827,75.463866
2022-07-10 18:11:18+00:00,32.64,-117.0827,75.563866
2022-07-10 18:11:18+00:00,32.64,-117.0827,75.663866
2022-07-10 18:11:18+00:00,32.64,-117.0827,75.763866
2022-07-10 18:11:18+00:00,32.64,-117.0827,75.863866
2022-07-10 18:11:18+00:00,32.64,-117.0827,75.963866
2022-07-10 18:11:18+00:00,32.64,-117.0827,76.063866
2022-07-10 18:11:18+00:00,32.64,-117.0827,76.163866
2022-07-10 18:11:18+00:00,32.64,-117.0827,76.263866
2022-07-10 18:11:19+00:00,32.64,-117.0827,76.363866
2022-07-10 18:11:19+00:00,32.64,-117.0827,76.463866
2022-07-10 18:11:19+00:00,32.64,-117.0827,76.563866
2022-07-10 18:11:19+00:00,32.64,-117.0827,76.663866
2022-07-10 18:11:19+00:00,32.64,-117.0827,76.763866
2022-07-10 18:11:19+00:00,32.64,-117.0827,76.863866
2022-07-10 18:11:19+00:00,32.64,-117.0827,76.963866
2022-07-10 18:11:20+00:00,32.64,-117.0827,76.963866
2022-07-10 18:11:20+00:00,32.64,-117.0827,77.063866
2022-07-10 18:11:20+00:00,32.64,-117.0827,77.163866
2022-07-10 18:11:20+00:00,32.64,-117.0827,77.263866
2022-07-10 18:11:21+00:00,32.64,-117.0827,77.263866
2022-07-10 18:11:22+00:00,32.64,-117.0827,77.263866
2022-07-10 18:11:22+00:00,32.64,-117.0827,77.163866
2022-07-10 18:11:23+00:00,32.64,-117.0827,77.163866
2022-07-10 18:11:23+00:00,32.64,-117.0827,77.263866
