Incident No.,Description,cfs-date,Block Location,Latitude,Longitude,drone-id
230318L00023297,Traffic Stop,2023-03-18 18:39:00.437,1400 BLOCK EASTLAKE PW,32.629234,-116.948228,0567a427d9c4e8efe13725d3c24aed18
230318L00023298,Check The Area,2023-03-18 18:42:08.433,1200 BLOCK INDUSTRIAL BL,32.603762,-117.08561,0567a427d9c4e8efe13725d3c24aed18
230318L00023299,Illegally Parked Vehicle,2023-03-18 18:46:28.123,400 BLOCK FOURTH AV,32.636544,-117.082643,0567a427d9c4e8efe13725d3c24aed18
230318L00023295,Criminal Threat,2023-03-18 18:34:17.047,1300 BLOCK THIRD AV,32.606636,-117.066401,0567a427d9c4e8efe13725d3c24aed18
230318L00023301,Fraud/Forgery,2023-03-18 18:57:27.370,1200 BLOCK BROADWAY,32.606672,-117.079998,0567a427d9c4e8efe13725d3c24aed18
230318L00023294,Petty Theft <=$950,2023-03-18 18:32:22.863,1800 BLOCK MAIN CT,32.594565,-117.034758,0567a427d9c4e8efe13725d3c24aed18
230318L00023300,Disturbance - General,2023-03-18 18:47:33.033,800 BLOCK LAZO CT,32.637871,-117.02695,0567a427d9c4e8efe13725d3c24aed18
230318L00023303,Check The Area,2023-03-18 19:02:35.523,800 BLOCK HUMPHREY PL,32.614384,-117.019863,0567a427d9c4e8efe13725d3c24aed18
230318L00023293,Traffic Collision,2023-03-18 18:23:56.383,400 BLOCK ALPINE AV,32.639696,-117.071291,0567a427d9c4e8efe13725d3c24aed18
230318L00023288,False Alarm - Undefined,2023-03-18 18:09:51.170,800 BLOCK CARDAMON CT,32.630106,-117.020464,0567a427d9c4e8efe13725d3c24aed18
230307L00019838,Missing Person,2023-03-07 10:44:58.367,300 BLOCK FOURTH AV,32.639993,-117.083982,761a991fbb6c16761c96dd273c291319
230307L00019849,[Protected Call Type],2023-03-07 11:16:58.340,500 BLOCK CLAIRE AV,32.638842,-117.060817,761a991fbb6c16761c96dd273c291319
230307L00019841,Police Impound,2023-03-07 10:56:20.393,800 BLOCK RIVERLAWN AV,32.620151,-117.086516,761a991fbb6c16761c96dd273c291319
230307L00019850,SRO Campus Visit Greet,2023-03-07 11:20:42.320,700 BLOCK OTAY LAKES RD,32.646515,-117.00287,761a991fbb6c16761c96dd273c291319
230307L00019847,Citizen Flagged Officer Down,2023-03-07 11:14:24.517,600 BLOCK OXFORD ST,32.606672,-117.079998,761a991fbb6c16761c96dd273c291319
230307L00019833,Vandalism,2023-03-07 10:38:46.300,400 BLOCK BROADWAY,32.634152,-117.090964,761a991fbb6c16761c96dd273c291319
230307L00019831,Incident Follow Up,2023-03-07 10:36:26.553,1400 BLOCK BROADWAY,32.60219,-117.078244,761a991fbb6c16761c96dd273c291319
230307L00019836,Disturbance - General,2023-03-07 10:44:25.473,1200 BLOCK BROADWAY,32.606672,-117.079998,761a991fbb6c16761c96dd273c291319
230307L00019834,Disturbance - General,2023-03-07 10:37:14.420,800 BLOCK PASEO DEL REY,32.636486,-117.028731,761a991fbb6c16761c96dd273c291319
230307L00019835,SRO Meet with Admin,2023-03-07 10:41:26.797,600 BLOCK FLOWER ST,32.6432,-117.094181,761a991fbb6c16761c96dd273c291319
230307L00019848,Fraud/Forgery,2023-03-07 11:17:35.927,900 BLOCK STRAWBERRY CREEK ST,32.619202,-117.014388,761a991fbb6c16761c96dd273c291319
230307L00019845,Narcotics,2023-03-07 11:10:11.350,1900 BLOCK STYLUS ST,32.619118,-116.967129,761a991fbb6c16761c96dd273c291319
230307L00019839,Vehicle Theft,2023-03-07 10:50:58.930,200 BLOCK LANDIS AV,32.644289,-117.082272,761a991fbb6c16761c96dd273c291319
230307L00019829,Police Impound,2023-03-07 10:32:11.550,1600 BLOCK MAPLE DR,32.597464,-117.043166,761a991fbb6c16761c96dd273c291319
230307L00019851,Lost Property,2023-03-07 11:21:28.217,300 BLOCK TROUSDALE DR,32.654582,-117.085753,761a991fbb6c16761c96dd273c291319
230307L00019843,SRO Weapon at School,2023-03-07 11:04:01.717,1600 BLOCK SANTA ALEXIA AV,32.615216,-116.992214,761a991fbb6c16761c96dd273c291319
230307L00019854,Incident Follow Up,2023-03-07 11:24:38.547,800 BLOCK SECOND AV,32.625025,-117.069066,761a991fbb6c16761c96dd273c291319
230307L00019842,[Protected Call Type],2023-03-07 10:56:22.293,1200 BLOCK WAXWING LN,32.618036,-117.036616,761a991fbb6c16761c96dd273c291319
230307L00019844,SRO Campus Visit Greet,2023-03-07 11:06:29.343,1100 BLOCK E J ST,32.629715,-117.011499,761a991fbb6c16761c96dd273c291319
230307L00019838,Missing Person,2023-03-07 10:44:58.367,300 BLOCK FOURTH AV,32.639993,-117.083982,e4ed3f754ee966717c2f5345e6ec12a8
230307L00019849,[Protected Call Type],2023-03-07 11:16:58.340,500 BLOCK CLAIRE AV,32.638842,-117.060817,e4ed3f754ee966717c2f5345e6ec12a8
230307L00019841,Police Impound,2023-03-07 10:56:20.393,800 BLOCK RIVERLAWN AV,32.620151,-117.086516,e4ed3f754ee966717c2f5345e6ec12a8
230307L00019828,Traffic Collision,2023-03-07 10:23:19.063,2200 BLOCK OTAY LAKES RD,32.648029,-116.966389,e4ed3f754ee966717c2f5345e6ec12a8
230307L00019847,Citizen Flagged Officer Down,2023-03-07 11:14:24.517,600 BLOCK OXFORD ST,32.606672,-117.079998,e4ed3f754ee966717c2f5345e6ec12a8
230307L00019833,Vandalism,2023-03-07 10:38:46.300,400 BLOCK BROADWAY,32.634152,-117.090964,e4ed3f754ee966717c2f5345e6ec12a8
230307L00019831,Incident Follow Up,2023-03-07 10:36:26.553,1400 BLOCK BROADWAY,32.60219,-117.078244,e4ed3f754ee966717c2f5345e6ec12a8
230307L00019836,Disturbance - General,2023-03-07 10:44:25.473,1200 BLOCK BROADWAY,32.606672,-117.079998,e4ed3f754ee966717c2f5345e6ec12a8
230307L00019834,Disturbance - General,2023-03-07 10:37:14.420,800 BLOCK PASEO DEL REY,32.636486,-117.028731,e4ed3f754ee966717c2f5345e6ec12a8
230307L00019835,SRO Meet with Admin,2023-03-07 10:41:26.797,600 BLOCK FLOWER ST,32.6432,-117.094181,e4ed3f754ee966717c2f5345e6ec12a8
230307L00019848,Fraud/Forgery,2023-03-07 11:17:35.927,900 BLOCK STRAWBERRY CREEK ST,32.619202,-117.014388,e4ed3f754ee966717c2f5345e6ec12a8
230307L00019845,Narcotics,2023-03-07 11:10:11.350,1900 BLOCK STYLUS ST,32.619118,-116.967129,e4ed3f754ee966717c2f5345e6ec12a8
230307L00019839,Vehicle Theft,2023-03-07 10:50:58.930,200 BLOCK LANDIS AV,32.644289,-117.082272,e4ed3f754ee966717c2f5345e6ec12a8
230307L00019829,Police Impound,2023-03-07 10:32:11.550,1600 BLOCK MAPLE DR,32.597464,-117.043166,e4ed3f754ee966717c2f5345e6ec12a8
230307L00019827,Disturbance - Homeless-Related,2023-03-07 10:22:03.663,1600 BLOCK FRESNO AV,32.597552,-117.066828,e4ed3f754ee966717c2f5345e6ec12a8
230307L00019843,SRO Weapon at School,2023-03-07 11:04:01.717,1600 BLOCK SANTA ALEXIA AV,32.615216,-116.992214,e4ed3f754ee966717c2f5345e6ec12a8
230307L00019842,[Protected Call Type],2023-03-07 10:56:22.293,1200 BLOCK WAXWING LN,32.618036,-117.036616,e4ed3f754ee966717c2f5345e6ec12a8
230307L00019844,SRO Campus Visit Greet,2023-03-07 11:06:29.343,1100 BLOCK E J ST,32.629715,-117.011499,e4ed3f754ee966717c2f5345e6ec12a8
230422L00033739,False Alarm - Undefined,2023-04-22 05:04:43.013,3400 BLOCK MAIN ST,32.594896,-117.060241,ae6d030fdd61743438a442afacf2233c
230422L00033740,False Alarm - Undefined,2023-04-22 05:28:47.483,1300 BLOCK THIRD AV,32.606636,-117.066401,ae6d030fdd61743438a442afacf2233c
230422L00033741,Vandalism,2023-04-22 05:33:02.247,1700 BLOCK REGENCY WY,32.593115,-117.043929,ae6d030fdd61743438a442afacf2233c
230417L00032164,Traffic Collision,2023-04-17 13:29:25.883,700 BLOCK E ST,32.639895,-117.097631,129d99ffa2aebed2886cca607e5f6c36
230417L00032165,Emergency Call Hang-Up,2023-04-17 13:39:12.723,500 BLOCK THIRD AV,32.633033,-117.077396,129d99ffa2aebed2886cca607e5f6c36
230417L00032159,Disturbance - General,2023-04-17 13:22:30.430,800 BLOCK BROADWAY,32.62046,-117.085418,129d99ffa2aebed2886cca607e5f6c36
230417L00032153,[Protected Call Type],2023-04-17 13:06:11.170,500 BLOCK TELEGRAPH CANYON RD,32.627682,-117.041767,129d99ffa2aebed2886cca607e5f6c36
230417L00032167,Unknown Problem,2023-04-17 13:44:55.730,1400 BLOCK RIDGEBACK RD,32.64611,-117.003833,129d99ffa2aebed2886cca607e5f6c36
230417L00032149,SRO Campus Visit Greet,2023-04-17 12:47:33.530,50 BLOCK FLOWER ST,32.649506,-117.072849,129d99ffa2aebed2886cca607e5f6c36
230417L00032156,Civil Dispute,2023-04-17 13:14:55.840,1000 BLOCK OAKLAWN AV,32.612689,-117.085776,129d99ffa2aebed2886cca607e5f6c36
230417L00032155,SRO Meet with Admin,2023-04-17 13:14:46.990,700 BLOCK I ST,32.626281,-117.091876,129d99ffa2aebed2886cca607e5f6c36
230417L00032157,Disabled Vehicle,2023-04-17 13:17:53.897,1200 BLOCK OLYMPIC PW,32.639967,-116.984669,129d99ffa2aebed2886cca607e5f6c36
230417L00032154,Extra Patrol,2023-04-17 13:13:06.993,300 BLOCK ORANGE AV,32.60166,-117.064521,129d99ffa2aebed2886cca607e5f6c36
230417L00032160,[Protected Call Type],2023-04-17 13:23:37.067,300 BLOCK TROUSDALE DR,32.654582,-117.085753,129d99ffa2aebed2886cca607e5f6c36
230417L00032162,Police Impound,2023-04-17 13:28:27.987,1700 BLOCK ORION AV,32.615554,-116.964042,129d99ffa2aebed2886cca607e5f6c36
230417L00032152,Assault,2023-04-17 12:56:17.147,1600 BLOCK PASEO CORVUS,32.631097,-116.935085,129d99ffa2aebed2886cca607e5f6c36
230417L00032163,SRO Lockdown Secure Campus Drill,2023-04-17 13:33:27.237,1900 BLOCK HILLSIDE DR,32.657469,-116.982313,129d99ffa2aebed2886cca607e5f6c36
230417L00032166,SRO Lockdown Secure Campus Drill,2023-04-17 13:43:47.567,1900 BLOCK HILLSIDE DR,32.657469,-116.982313,129d99ffa2aebed2886cca607e5f6c36
230417L00032150,,2023-04-17 12:53:47.000,1600 BLOCK METRO AV,32.619162,-116.966619,129d99ffa2aebed2886cca607e5f6c36
230417L00032158,Fraud/Forgery,2023-04-17 13:22:15.527,2400 BLOCK FALCON VALLEY DR,32.658833,-116.965699,129d99ffa2aebed2886cca607e5f6c36
230410L00030035,Lost Property,2023-04-10 13:22:17.173,300 BLOCK BROADWAY,32.637314,-117.092607,995bd181b7de0ba6cf5d7b1d32f4bf00
230410L00030024,Indecent Exposure,2023-04-10 12:47:00.193,1200 BLOCK NACION AV,32.617918,-117.040073,995bd181b7de0ba6cf5d7b1d32f4bf00
230410L00030026,Incident Follow Up,2023-04-10 12:52:47.707,60 BLOCK THIRD AV,32.649046,-117.083099,995bd181b7de0ba6cf5d7b1d32f4bf00
230410L00030025,Missing Person,2023-04-10 12:51:24.350,100 BLOCK THIRD AV,32.648056,-117.082573,995bd181b7de0ba6cf5d7b1d32f4bf00
230410L00030031,Disturbance - General,2023-04-10 13:20:31.860,3000 BLOCK MAIN ST,32.594919,-117.069037,995bd181b7de0ba6cf5d7b1d32f4bf00
230410L00030029,Police Impound,2023-04-10 13:15:15.250,600 BLOCK GRETCHEN RD,32.63503,-117.058569,995bd181b7de0ba6cf5d7b1d32f4bf00
230410L00030028,[Protected Call Type],2023-04-10 12:57:49.353,500 BLOCK GUAVA AV,32.631987,-117.081811,995bd181b7de0ba6cf5d7b1d32f4bf00
230410L00030023,Fraud/Forgery,2023-04-10 12:38:11.770,100 BLOCK E ORANGE AV,32.600206,-117.046467,995bd181b7de0ba6cf5d7b1d32f4bf00
230515L00040704,Police Impound,2023-05-15 09:31:55.620,200 BLOCK CHURCH AV,32.644873,-117.080214,aba946ed19cd92339f5412c8c5bd5eaa
230515L00040705,SRO Misc,2023-05-15 09:36:00.587,1200 BLOCK SECOND AV,32.611228,-117.063684,aba946ed19cd92339f5412c8c5bd5eaa
230515L00040716,Traffic Hazard,2023-05-15 09:54:32.223,1100 BLOCK THIRD AV,32.612326,-117.068746,aba946ed19cd92339f5412c8c5bd5eaa
230515L00040706,Grand Theft > $950,2023-05-15 09:32:46.537,1900 BLOCK STRATA ST,32.613987,-116.964067,aba946ed19cd92339f5412c8c5bd5eaa
230515L00040710,Assault,2023-05-15 09:47:15.673,400 BLOCK THIRD AV,32.637627,-117.078745,aba946ed19cd92339f5412c8c5bd5eaa
230515L00040703,SRO Campus Visit Greet,2023-05-15 09:27:56.553,50 BLOCK FLOWER ST,32.649506,-117.072849,aba946ed19cd92339f5412c8c5bd5eaa
230515L00040713,Petty Theft <=$950,2023-05-15 09:45:58.187,1400 BLOCK LAKE CREST DR,32.630915,-116.941392,aba946ed19cd92339f5412c8c5bd5eaa
230515L00040717,Traffic Collision,2023-05-15 10:00:22.343,700 BLOCK PASO DE LUZ,32.623054,-117.023668,aba946ed19cd92339f5412c8c5bd5eaa
230515L00040711,Assault,2023-05-15 09:44:43.403,1300 BLOCK HILLTOP DR,32.610038,-117.054174,aba946ed19cd92339f5412c8c5bd5eaa
230515L00040715,Burglary - Commercial,2023-05-15 09:54:03.210,1700 BLOCK METRO AV,32.618647,-116.966673,aba946ed19cd92339f5412c8c5bd5eaa
230515L00040714,Police Impound,2023-05-15 09:54:06.597,1300 BLOCK VISTA SONRISA AV,32.628664,-116.984021,aba946ed19cd92339f5412c8c5bd5eaa
230515L00040712,SRO Meet with Admin,2023-05-15 09:44:48.160,1900 BLOCK HILLSIDE DR,32.657469,-116.982313,aba946ed19cd92339f5412c8c5bd5eaa
230515L00040719,Arrest Felony,2023-05-15 10:05:30.040,1 BLOCK DATE AV,32.649347,-117.092807,aba946ed19cd92339f5412c8c5bd5eaa
230515L00040707,Collision - No Details,2023-05-15 09:38:58.547,1400 BLOCK ALBANY AV,32.601241,-117.058085,aba946ed19cd92339f5412c8c5bd5eaa
230515L00040718,Disturbance - General,2023-05-15 10:05:58.640,1500 BLOCK E H ST,32.644728,-116.998857,aba946ed19cd92339f5412c8c5bd5eaa
230514L00040413,Disturbance - General,2023-05-14 00:00:03.570,700 BLOCK E ST,32.639895,-117.097631,cf32bcbcbc55e9275e80b0a0375b7a2c
230513L00040410,Death,2023-05-13 23:53:45.757,700 BLOCK THIRD AV,32.627346,-117.074508,cf32bcbcbc55e9275e80b0a0375b7a2c
230514L00040419,Citizen Flagged Officer Down,2023-05-14 00:32:49.053,1000 BLOCK BROADWAY,32.613564,-117.082719,cf32bcbcbc55e9275e80b0a0375b7a2c
230514L00040424,[Protected Call Type],2023-05-14 00:43:21.117,1000 BLOCK BROADWAY,32.613564,-117.082719,cf32bcbcbc55e9275e80b0a0375b7a2c
230513L00040412,Suspicious Person,2023-05-13 23:55:07.280,800 BLOCK REGULO PL,32.641815,-117.00975,cf32bcbcbc55e9275e80b0a0375b7a2c
230513L00040411,Drunk Driver,2023-05-13 23:55:42.857,1100 BLOCK SECOND AV,32.614677,-117.065031,cf32bcbcbc55e9275e80b0a0375b7a2c
230514L00040426,False Alarm - Undefined,2023-05-14 00:46:06.290,900 BLOCK OTAY LAKES RD,32.642264,-116.993702,cf32bcbcbc55e9275e80b0a0375b7a2c
230514L00040414,Disturbance - General,2023-05-13 23:59:56.777,800 BLOCK LAZO CT,32.637871,-117.02695,cf32bcbcbc55e9275e80b0a0375b7a2c
230514L00040416,Unknown Problem,2023-05-14 00:22:06.520,400 BLOCK E ST,32.643285,-117.085459,cf32bcbcbc55e9275e80b0a0375b7a2c
230514L00040422,Water Leak,2023-05-14 00:38:15.357,400 BLOCK K ST,32.623047,-117.077232,cf32bcbcbc55e9275e80b0a0375b7a2c
230514L00040418,[Protected Call Type],2023-05-14 00:25:39.010,1600 BLOCK PASEO LYRA,32.630562,-116.934224,cf32bcbcbc55e9275e80b0a0375b7a2c
230514L00040425,Drunk Driver,2023-05-14 00:45:07.463,200 BLOCK CENTER ST,32.641081,-117.077457,cf32bcbcbc55e9275e80b0a0375b7a2c
230818L00070724,Disturbance - General,2023-08-18 20:36:15.960,700 BLOCK PLAZA CT,32.637261,-117.030105,54de34da0122f0858032c0b8020d905e
230818L00070721,Assault,2023-08-18 20:28:34.180,900 BLOCK OTAY LAKES RD,32.642264,-116.993702,54de34da0122f0858032c0b8020d905e
230818L00070719,Attempt Suicide,2023-08-18 20:15:49.507,1700 BLOCK THOMPSON AV,32.614926,-116.979106,54de34da0122f0858032c0b8020d905e
230818L00070728,Person Down,2023-08-18 21:07:24.813,E OXFORD ST & OASIS AV,32.619326,-117.037139,54de34da0122f0858032c0b8020d905e
230818L00070726,Disturbance - General,2023-08-18 20:45:30.160,300 BLOCK E H ST,32.640562,-117.052185,54de34da0122f0858032c0b8020d905e
230818L00070722,Non-Injury Collision,2023-08-18 20:31:11.220,800 BLOCK E H ST,32.63584,-117.029284,54de34da0122f0858032c0b8020d905e
230818L00070727,Vehicle Tampering,2023-08-18 20:48:10.313,700 BLOCK E PALOMAR ST,32.603763,-117.08561,54de34da0122f0858032c0b8020d905e
230818L00070720,Disturbance - General,2023-08-18 20:18:16.733,2000 BLOCK ELEMENT WY,32.613299,-116.962213,54de34da0122f0858032c0b8020d905e
230818L00070725,Disturbance - General,2023-08-18 20:40:20.077,1600 BLOCK HIMMER CT,32.619059,-116.972897,54de34da0122f0858032c0b8020d905e
