,lat_map,lon_map,time,id,date,time_s,address_map,incident_id,type,department,clean-type,match,drone-date
7777,32.6066251,-117.0829019,2:32pm,915d875447695b5fa3674c6945c3766e,2023-05-23,2:32pm,1150 Broadway,CVL043384,Fight ,cvpd,fight,43384,2023-05-23 14:32:00
7780,32.6099128,-117.0816837,11:47am,c332ad7a0c83dd63c18707036c5ed9db,2023-05-23,11:47am,1100 Broadway,CVL043318,Subject causing a disturbance ,cvpd,subject causing a disturbance,43318,2023-05-23 11:47:00
7803,32.7166639,-117.1610972,4:48pm,b35b7b5dba0d4d3b1c8eeb489a09122f,2023-05-25,4:48pm,1000 Fourth Ave,CVL044102,Suspicious circumstances ,cvpd,suspicious circumstances,44102,2023-05-25 16:48:00
7809,32.6099128,-117.0816837,12:25pm,db174fdae65ec612dcc971f5a9257f90,2023-05-25,12:25pm,1100 Broadway ,CVL044010,Narcotics ,cvpd,narcotics,44010,2023-05-25 12:25:00
7842,32.6031576,-117.0851599,7:12pm,cf238f7d241252d06534513cc7c6231f,2023-05-27,7:12pm,1265 Industrial Blvd.,CVL44729,Suspicious Person,cvpd,suspicious person,44729,2023-05-27 19:12:00
7897,32.6032942,-117.0786993,10:18am,1fff9a2ec69de0a2682416c1fc61204c,2023-05-29,10:18am,1300 Broadway,CVL 045171,Traffic Hazard,cvpd,traffic hazard,45171,2023-05-29 10:18:00
7918,32.5990017,-117.0853611,9:51am,d224a765f8903118fc882ef8d16c0a38,2023-05-31,9:51am,700 Belvia Ln,CVL045820,Wanted Subject ,cvpd,wanted subject,45820,2023-05-31 09:51:00
7964,32.6031175,-117.0788158,1:45pm,70a395fb751e8e831167aaace1e72748,2023-06-03,1:45pm, 600 Palomar St,CVL046901,Assault with a deadly weapon,cvpd,assault with a deadly weapon,46901,2023-06-03 13:45:00
8006,32.6085595,-117.0874666,2:52pm,93df49c8dd439b9ea52421294b10fb7e,2023-06-05,2:52pm,Naples St/ Industrial Blvd,CVL047557,Fight ,cvpd,fight,47557,2023-06-05 14:52:00
8074,32.61740484,-117.07165579,1:33pm,80ce2cd4184a95ef689b7ef5f7ba4bc4,2023-06-10,1:33pm,1000 Jefferson Ave.,CVL49078,Unknown Problem,cvpd,unknown problem,49078,2023-06-10 13:33:00
8185,32.6105634,-117.0809942,6:16pm,6e751300efca70cde21b5a6e2b1407e3,2023-06-17,6:16pm,1097 Broadway,CVL51221,Robbery,cvpd,robbery,51221,2023-06-17 18:16:00
8215,32.6024763,-117.0828099,2:14pm,ed1ca7d94d5ba62b8bd3a0e02f2f79f8,2023-06-18,2:14pm,660 Palomar St.,CVL51439,Unknown Problem,cvpd,unknown problem,51439,2023-06-18 14:14:00
8257,32.6081068,-117.0761732,7:07pm,60925900e2f539065dce9df5ad14afd8,2023-06-22,7:07pm,500 Oxford St,CVL052771,Narcotics ,cvpd,narcotics,52771,2023-06-22 19:07:00
8272,32.6091654,-117.081293,9:01pm,ec25a4f491e2d0b33dc85e7106a27ddb,2023-06-23,9:01pm,1120 Broadway,CVL53118,Fight ,cvpd,fight,53118,2023-06-23 21:01:00
8301,32.6053981,-117.0658675,9:07am,d8b282d5364fbd11c9c43e9585f716ce,2023-06-24,9:07am,1340 Third Ave.,CVL53231,Welfare Check,cvpd,welfare check,53231,2023-06-24 09:07:00
8327,32.6031175,-117.0788158,12:44pm,0c37eff76a683afe33f347cca33ab448,2023-06-25,12:44pm,600 Palomar St.,CVL53584,Suspicious Person,cvpd,suspicious person,53584,2023-06-25 12:44:00
8333,32.715606,-117.1536308,3:06pm,59262bdaa54260398e6274abda10503d,2023-06-26,3:06pm,1000 Broadway,CVL053887,Subject causing a disturbance ,cvpd,subject causing a disturbance,53887,2023-06-26 15:06:00
8343,32.6099128,-117.0816837,7:00pm,3910bd861e9a26b8b9c00cbc7a22a4d7,2023-06-27,7:00pm,1100 Broadway,CVL054246,Indecent Exposure ,cvpd,indecent exposure,54246,2023-06-27 19:00:00
8376,32.715606,-117.1536308,11:56am,5eb4d2228728a5db463a3effd123668a,2023-06-29,11:56am,1000 Broadway  ,CVL054781,Battery ,cvpd,battery,54781,2023-06-29 11:56:00
8390,32.6031467,-117.0879353,5:05pm,d8a3b0f6ee7090d0298be6fdf537021a,2023-06-30,5:05pm,1225 Frontage Rd.,CVL55132,Suspicious Person,cvpd,suspicious person,55132,2023-06-30 17:05:00
8399,32.6033874,-117.0905886,10:49am,a749e7c322c80e10a4ee0e88013de276,2023-06-30,10:49am,800 Stella St.,CVL55053,Welfare Check,cvpd,welfare check,55053,2023-06-30 10:49:00
8417,32.6003974,-117.0889996,12:53pm,6047a5a98e5afece396141971a380941,2023-07-01,12:53pm,1500 Frontage Rd.,CVL55434 ,Welfare Check,cvpd,welfare check,55434,2023-07-01 12:53:00
8441,32.6050707,-117.0725537,2:54pm,0bf0f60ab3a24e6ed7d0201a3a207fea,2023-07-03,2:54pm,Palomar Street/ Broadway,L056074,Subjects blocking traffic,cvpd,subjects blocking traffic,56074,2023-07-03 14:54:00
