,lat_map,lon_map,time,id,date,time_s,address_map,incident_id,type,department,clean-type,match,drone-date
788,32.6099128,-117.0816837,5:13pm,930b6befe5aac8a03d7961ba11bb333c,2021-08-10,5:13pm,1100 Broadway,CVL66545,Suspicious Person,cvpd,suspicious person,66545,2021-08-10 17:13:00
795,32.6099128,-117.0816837,12:22pm,61b7fa8650ac07af6f42580701305d97,2021-08-10,12:22pm,1100 Broadway,CVL66446,Suspicious Vehicle ,cvpd,suspicious vehicle,66446,2021-08-10 12:22:00
796,32.6099128,-117.0816837,10:17am,a3a7658fe5ff8f5967aa0d42fd0f95c6,2021-08-10,10:17am,1100 Broadway,CVL66418,Subject Causing Disturbance,cvpd,subject causing disturbance,66418,2021-08-10 10:17:00
911,32.608699,-117.081237,10:05am,68ef4a54b7d806c0c067418ac2fa0619,2021-08-17,10:05am,1130 Broadway,CVL68651,Subject Causing Disturbance,cvpd,subject causing disturbance,68651,2021-08-17 10:05:00
956,32.603427,-117.083756,12:49pm,729086519aca2eeac4d3d15c0c452624,2021-08-19,12:49pm,PALOMAR/INDUSTRIAL,L069327,HIT AND RUN VEHICLE,cvpd,hit and run vehicle,69327,2021-08-19 12:49:00
1042,32.6080588,-117.0925272,9:27am,d5ef6fd34a8fc68c4d0bf590b6a9e146,2021-08-23,9:27am,1100 Bay Blvd.,CVL70506,Suspicious Person,cvpd,suspicious person,70506,2021-08-23 09:27:00
1077,32.61737876,-117.07164216,11:32am,0014e0f259813a605267a7f52512e0b5,2021-08-25,11:32am,INDUSTRIAL/NAPLES,L071183,FIRE,cvpd,fire,71183,2021-08-25 11:32:00
1125,32.608699,-117.081237,9:59am,b9d264a334d49e7f41df7ea074972275,2021-08-27,9:59am,1130 BROADWAY,L071789,TRAFFIC DISPUTE,cvpd,traffic dispute,71789,2021-08-27 09:59:00
1136,32.6095311313918,-117.081871266502,10:12pm,e669634e26085bd5899ae49656fcdb15,2021-08-28,10:12pm,1100 Broadway,L072272,Subject with a gun,cvpd,subject with a gun,72272,2021-08-28 22:12:00
1195,32.608699,-117.081237,12:45pm,611a55bbd90457430bfd37269efdd10e,2021-08-31,12:45pm,1130 Broadway,CVL73086,Suspicious Person,cvpd,suspicious person,73086,2021-08-31 12:45:00
1223,32.60443,-117.088395,1:30pm,82d60155a7059002002601824952c3da,2021-09-02,1:30pm,800 PALOMAR,L073415,DUI,cvpd,dui,73415,2021-09-02 13:30:00
1261,32.6072209,-117.0794542,3:49pm,b80b9c3c9a36d0f9b4b043a21863eee8,2021-09-04,3:49pm,1193 BROADWAY,L074396,PERSON CAUSING A DISTURBANCE,cvpd,person causing a disturbance,74396,2021-09-04 15:49:00
1298,32.6055823,-117.0877553,5:15pm,55edc85e982fb21e73be2d000d3be1bd,2021-09-06,5:15pm,1100 Trenton Ave.,CVL74986,Subject Causing Disturbance,cvpd,subject causing disturbance,74986,2021-09-06 17:15:00
1305,32.6398674,-116.9751662,1:00pm,2235298a5aee3cdb2fe6ea237af28593,2021-09-06,1:00pm,1100 Walnut Ave.,CVL74939,Welfare Check,cvpd,welfare check,74939,2021-09-06 13:00:00
1358,32.6031467,-117.0879353,12:35pm,6b03b0e7d3d2f92059105e017e9f669c,2021-09-09,12:35pm,1225 FRONTAGE,L075816,SUSPICIOUS PERSON,cvpd,suspicious person,75816,2021-09-09 12:35:00
1394,32.608699,-117.081237,12:42pm,7701c2e8220289a27678e9a414577059,2021-09-12,12:42pm,1130 Broadway,CVL76804,Subject Causing Disturbance,cvpd,subject causing disturbance,76804,2021-09-12 12:42:00
1445,32.61738697,-117.0716505,12:07pm,9283cd73e49463e2f8a5c53762a23b1a,2021-09-16,12:07pm,330 Moss St,,,cvpd,,nan,2021-09-16 12:07:00
1459,32.6087862,-117.0777303,2:35pm,7f34275bda301db8772901682449d6ef,2021-09-16,2:35pm,550 OXFORD,L078008,INDECENT EXPOSURE,cvpd,indecent exposure,78008,2021-09-16 14:35:00
1527,32.61737534,-117.07163256,1:57pm,baac552fb830a90d3052471df5e9d689,2021-09-19,1:57pm,3RD/NAPLES,L078957,PERSON CAUSING A DISTURBANCE,cvpd,person causing a disturbance,78957,2021-09-19 13:57:00
1538,32.6178394,-117.091341,4:57pm,0aefeecb899f79699d5361a8bcb47632,2021-09-20,4:57pm,I-5/ Palomar St.,CVL79282,Traffic Hazard,cvpd,traffic hazard,79282,2021-09-20 16:57:00
1554,32.6067906,-117.0800823,4:54pm,ab4cc03c42c820eb843dcb08d78e8a7a,2021-09-21,4:54pm,600 Oxford St.,CVL79544,Subject Causing Disturbance,cvpd,subject causing disturbance,79544,2021-09-21 16:54:00
1600,32.600441,-117.0899845,10:21am,65010878a2a1f9d50728301f5c502e0c,2021-09-24,10:21am,Dorothy St/ W Frontage Rd,CV2112105,Assault with a Deadly Weapon,cvpd,assault with a deadly weapon,12105,2021-09-24 10:21:00
1602,32.60443,-117.088395,9:01am,e445b5e9048c23c8f22509177753dd8a,2021-09-24,9:01am,800 Palomar Street,CVL080306,Domestic Violence,cvpd,domestic violence,80306,2021-09-24 09:01:00
1611,32.6047624,-117.0810631,1:16pm,b702be18da55e0c21ad2de9f3c8bb842,2021-09-25,1:16pm,1240 Broadway,CVL80723,Weapon Threat,cvpd,weapon threat,80723,2021-09-25 13:16:00
1624,32.6178394,-117.091341,5:45pm,8d67d56c0fbc9bb74776e8ad653cfd3d,2021-09-26,5:45pm,I-5/ Main St.,CVL81047,Collision,cvpd,collision,81047,2021-09-26 17:45:00
1686,32.6066407,-117.0843813,12:18pm,36300cf465a3726d5545ff5bc438d021,2021-09-30,12:18pm,670 OXFORD,L082122,OVERDOSE,cvpd,overdose,82122,2021-09-30 12:18:00
1729,32.6067906,-117.0800823,2:05pm,913d18e7064f7ffb3348cbc68fac246a,2022-01-03,2:05pm,600 Oxford St.,CVL0668,Suspicious Person ,cvpd,suspicious person,00668,2022-01-03 14:05:00
1731,32.599303,-117.0912224,3:52pm,d0cbf162be36879677d3ee0beb6751ed,2022-01-04,3:52pm,Bay Blvd./ Anita St.,CVL0986,Suspicious Person,cvpd,suspicious person,00986,2022-01-04 15:52:00
1735,32.609695,-117.0833681,1:56pm,3e0a5b2c869224ec6dd895de70626f0b,2022-01-04,1:56pm,Naples St./ Jefferson Ave.,CVL0943,Welfare Check,cvpd,welfare check,00943,2022-01-04 13:56:00
1749,32.6105634,-117.0809942,11:32am,e7f21726c9ab6988d634e39bc3de5e94,2022-01-04,11:32am,1097 Broadway,CVL0937,Welfare Check,cvpd,welfare check,00937,2022-01-04 11:32:00
1791,32.7207914,-117.1590987,12:38pm,5735eba4e04ee40f9e062c50b4b97ff3,2022-01-08,12:38pm,1475 Bay,L002040,Stolen Vehicle,cvpd,stolen vehicle,02040,2022-01-08 12:38:00
1822,32.61741958,-117.07164607,11:31am,50935bcdf5e4f9f23d3ed53be763fd88,2022-01-10,11:31am,1200 Broadway,CVL2517,Subject Causing Disturbance,cvpd,subject causing disturbance,02517,2022-01-10 11:31:00
1824,32.6080588,-117.0925272,9:05am,08590f58f46fbce165ed324f97d45f74,2022-01-10,9:05am,1100 Bay Blvd.,CVL2500,Suspicious Person,cvpd,suspicious person,02500,2022-01-10 09:05:00
1845,32.6105634,-117.0809942,1:14pm,84dd2347ba53c9e211652a1f0f7969bb,2022-01-12,1:14pm,1097 Broadway,CVL3152,Fight,cvpd,fight,03152,2022-01-12 13:14:00
1849,32.603989,-117.0856962,4:27pm,d0a78e76f87e8a2eac7453fb01d2d30b,2022-01-12,4:27pm,Palomar St./ Industrial Blvd.,CVL3127,Welfare Check,cvpd,welfare check,03127,2022-01-12 16:27:00
1867,32.6040991,-117.0867476,11:29am,1d2578462e79f71258c265f077b35fa7,2022-01-13,11:29am,Palomar St./ Trenton Ave.,CVL3413,Welfare Check,cvpd,welfare check,03413,2022-01-13 11:29:00
1868,32.6031576,-117.0851599,11:18am,96c2eb0d24fc865e0cce3f2772ba5b2f,2022-01-13,11:18am,1265 Industrial Blvd.,CVL3411,Vehicle Burglary,cvpd,vehicle burglary,03411,2022-01-13 11:18:00
1895,32.6099128,-117.0816837,11:17am,e9cf2cfae1873ff9b86ebe30d36cbe19,2022-01-16,11:17am,Broadway (1100 Block),CVL04225,Mental Subject Eval,cvpd,mental subject eval,04225,2022-01-16 11:17:00
1942,32.6067906,-117.0800823,2:14pm,87a018b052b4c6044af17c3f88c3dadf,2022-01-19,2:14pm,600 Oxford St.,CVL5100,Theft,cvpd,theft,05100,2022-01-19 14:14:00
1949,32.6178394,-117.091341,8:09am,18d573f355b2a1b8c0f0f54ee022937e,2022-01-19,8:09am,I-5/ Palomar St.,CVL4960,Subject Causing Disturbance,cvpd,subject causing disturbance,04960,2022-01-19 08:09:00
2008,32.6047714,-117.0879813,9:59am,97413fa1d04c9e8679bf95a4ffa7178b,2022-01-23,9:59am,1187 Walnut,L006202,Person Causing a Disturbance,cvpd,person causing a disturbance,06202,2022-01-23 09:59:00
2018,32.6066251,-117.0829019,8:51am,f6e6ae182a8ec41597ebbf0eb6d96829,2022-01-24,8:51am,1150 Broadway,CVL6430,Gas Leak,cvpd,gas leak,06430,2022-01-24 08:51:00
2025,32.6105634,-117.0809942,2:01pm,7062ecce9dd0c6c55b5cbfb42492547e,2022-01-25,2:01pm,1097 Broadway,CVL6837,Fight ,cvpd,fight,06837,2022-01-25 14:01:00
2031,32.6102258,-117.0814539,10:12am,1aad9966e5ecda6ecfbdb2cedcd0fe74,2022-01-25,10:12am,600 Naples St.,CVL6762,Subject Causing Disturbance,cvpd,subject causing disturbance,06762,2022-01-25 10:12:00
2041,32.6066251,-117.0829019,4:28pm,281390ad81a5fcae7bd8200494f32821,2022-01-26,4:28pm,1150 Broadway,CVL7172,Robbery,cvpd,robbery,07172,2022-01-26 16:28:00
2124,32.6174068,-117.07164427,12:49pm,3f185ffbb9840a3e0fb9a6ba86436703,2022-01-31,12:49pm,1200 Broadway,CVL8653,Suspicious Person,cvpd,suspicious person,08653,2022-01-31 12:49:00
2132,32.60443,-117.088395,4:25pm,40f043acf749a84568e47416ccf28e6a,2022-02-01,4:25pm,800 Palomar St.,CVL9043,Domestic Violence,cvpd,domestic violence,09043,2022-02-01 16:25:00
2154,32.608699,-117.081237,12:36pm,9cea82f0cde1d6c2b2d648d68688c4c3,2022-02-02,12:36pm,1130 Broadway,CVL9299,Fraud Attempt,cvpd,fraud attempt,09299,2022-02-02 12:36:00
2175,32.6040944,-117.0880519,10:52am,27e7f027cdaf1f47ab30c042730db820,2022-02-03,10:52am,Frontage Rd./ Palomar St.,CVL9597,Vehicle Theft,cvpd,vehicle theft,09597,2022-02-03 10:52:00
2186,32.6025298,-117.0878706,4:09pm,c5ff21f6c7597af8a7511ff1cd0411c9,2022-02-04,4:09pm,800 Ada,L010036,Domestic Violence,cvpd,domestic violence,10036,2022-02-04 16:09:00
2201,32.5995399,-117.0898779,5:00pm,bdcc51a182fc781d4c252f27e58830c4,2022-02-05,5:00pm,800 Elise,L010354,Traffic Collision,cvpd,traffic collision,10354,2022-02-05 17:00:00
2265,32.6063724,-117.0857519,12:28pm,e6850265757db3dff92aedaf281f410a,2022-02-09,12:28pm,690 Oxford St.,CVL11409,Welfare Check,cvpd,welfare check,11409,2022-02-09 12:28:00
2274,32.6063724,-117.0857519,10:55am,848ca09a17b17c619616893f30a93b00,2022-02-09,10:55am,690 Oxford St.,CVL11383,Domestic Violence,cvpd,domestic violence,11383,2022-02-09 10:55:00
2285,32.608699,-117.081237,1:11pm,ae097640a3909376623026f72988683e,2022-02-10,1:11pm,1130 Broadway,CVL11800,Collision,cvpd,collision,11800,2022-02-10 13:11:00
2369,32.715606,-117.1536308,8:15am,e6abdf7ec39c64fc1a7f31f04c635e21,2022-02-15,8:15am,1000 Broadway,CVL13216,Assault with Deadly Weapon,cvpd,assault with deadly weapon,13216,2022-02-15 08:15:00
2372,32.6040991,-117.0867476,6:01am,5db3dcf1f5f9bb2c5e0099eca3e11260,2022-02-16,6:01am,Trenton Ave./ Palomar Ave.,CVL13480,Wanted Subject,cvpd,wanted subject,13480,2022-02-16 06:01:00
2373,32.6040991,-117.0867476,6:20am,13519f03eb350487f1e0e68e268d88c2,2022-02-16,6:20am,Trenton Ave./ Palomar St.,CVL13480,Wanted Subject,cvpd,wanted subject,13480,2022-02-16 06:20:00
2388,32.6098649,-117.0813317,9:33am,69e0e69251194f9424e54f30b17f544f,2022-02-16,9:33am,Broadway/ Naples St.,CVL13535,Welfare Check,cvpd,welfare check,13535,2022-02-16 09:33:00
2394,32.60659,-117.0844,2:36pm,2c7dae6a093e81a6d1db6aec2b5deb6f,2022-02-17,2:36pm,670 Oxford St.,CVL13965,Welfare Check,cvpd,welfare check,13965,2022-02-17 14:36:00
2442,32.61743205,-117.07166218,1:27pm,378c562e79c4660c1a581a9c08b383e0,2022-02-19,1:27pm,E L/Helix,L014485,Traffic Collision,cvpd,traffic collision,14485,2022-02-19 13:27:00
2461,32.6216355,-117.0271915,2:34pm,700324a14c3cde69c9907f1b95ed6a6c,2022-02-20,2:34pm,520 Naples,L014783,Tresspass,cvpd,tresspass,14783,2022-02-20 14:34:00
2536,32.6063724,-117.0857519,10:33am,d52be47b9c885a88afeeec74d08a6fb8,2022-02-25,10:33am,690 OXFORD ST,CVL016227,5150 NOW,cvpd,5150 now,16227,2022-02-25 10:33:00
2538,32.5989396,-117.0695936,9:09am,35e81c26fadbf63cb67e9831336fb1cf,2022-02-25,9:09am,1177 BROADWAY,CVL016204,415 SUBJECT,cvpd,415 subject,16204,2022-02-25 09:09:00
2543,32.7207914,-117.1590987,4:46pm,a17c44bf7273e6e30c010fbffaa7015b,2022-02-26,4:46pm,1475 Bay,L061601,Fire,cvpd,fire,61601,2022-02-26 16:46:00
2544,32.61742032,-117.07166415,4:22pm,5db38c165ebd136732efd81a94804155,2022-02-26,4:22pm,330 Moss St,,,cvpd,,nan,2022-02-26 16:22:00
2545,32.7207914,-117.1590987,3:51pm,a96456e1989bf02bd85b75a8f978b2a0,2022-02-26,3:51pm,1475 Bay,L016601,Fire,cvpd,fire,16601,2022-02-26 15:51:00
2571,32.6040954,-117.0912449,1:41pm,363812b940736c9d7c5aab1520061967,2022-02-27,1:41pm,873 Palomar,L016747,Person Causing a Disturbance,cvpd,person causing a disturbance,16747,2022-02-27 13:41:00
2602,32.6099128,-117.0816837,8:55am,58231a1353dcb7fa5c9f9c279d397677,2022-02-28,8:55am,1100 Broadway,CVL16998,Subject Causing Disturbance,cvpd,subject causing disturbance,16998,2022-02-28 08:55:00
2625,32.6067906,-117.0800823,11:42am,ebdff2b68a0b56ee07af2219cee82977,2022-03-01,11:42am,600 Oxford St.,CVL17328,Hit and Run,cvpd,hit and run,17328,2022-03-01 11:42:00
2637,32.6178394,-117.091341,2:39pm,4c8d2d1e7a90dc8bc0a36177e31a5c5c,2022-03-02,2:39pm,I-5/ Palomar St.,CVL17728,Collision,cvpd,collision,17728,2022-03-02 14:39:00
2655,32.6091023,-117.0854974,11:48am,c2c46d68cad8b15909ce5fa6cb0a420b,2022-03-02,11:48am,Naples St./ Woodlawn Ave.,CVL17642,Subject Causing Disturbance,cvpd,subject causing disturbance,17642,2022-03-02 11:48:00
2718,32.6066251,-117.0829019,5:05pm,2652e262ab84bcc5f907411df5db8db8,2022-03-07,5:05pm,1150 Broadway,CVL19226,Welfare Check,cvpd,welfare check,19226,2022-03-07 17:05:00
2736,32.6398674,-116.9751662,10:44am,83d7bfbeb6a088f90f532021e3c07115,2022-03-07,10:44am,1100 Walnut Ave.,CVL19117,Collision,cvpd,collision,19117,2022-03-07 10:44:00
2741,32.603989,-117.0856962,2:53pm,d020af864a8a1d00c3b83b764b5dba36,2022-03-08,2:53pm,Industrial Blvd./ Palomar St.,CVL19500 ,Reckless Driver,cvpd,reckless driver,19500,2022-03-08 14:53:00
2742,32.6066251,-117.0829019,2:32pm,402444f4a46178ad6ed26e3a10eced3f,2022-03-08,2:32pm,1150 Broadway,CVL19482,Suspicious Person,cvpd,suspicious person,19482,2022-03-08 14:32:00
2763,32.6066251,-117.0829019,1:14pm,f2a383328c00de1e85d1155f719247d7,2022-03-09,1:14pm,1150 Broadway,CVL19754,Subject Causing Disturbance,cvpd,subject causing disturbance,19754,2022-03-09 13:14:00
2860,32.6025992,-117.0775235,10:48am,06b5fefbca9935b58744a9e4eb9ca412,2022-03-12,10:48am,1355 Broadway,L020663,Stolen Car,cvpd,stolen car,20663,2022-03-12 10:48:00
2871,32.5986121,-117.0897856,11:43am,6dce7e79bd86210ef83efa52ec8af53a,2022-03-13,11:43am,1600 W Frontage,L020936,Mental Case,cvpd,mental case,20936,2022-03-13 11:43:00
2892,32.61745325,-117.07167438,2:11pm,958afd6f327905eac572bdd71ef56bbf,2022-03-14,2:11pm,1200 Broadway,CVL21239,Subject Causing Disturbance,cvpd,subject causing disturbance,21239,2022-03-14 14:11:00
2977,32.6059071,-117.0889006,1:06pm,bda38e1dfdcb1206e59811ab4a957d3e,2022-03-17,1:06pm,1150 Walnut Ave.,CVL22096,Subject Causing Disturbance,cvpd,subject causing disturbance,22096,2022-03-17 13:06:00
2981,32.6098649,-117.0813317,10:51am,720636edd0c67eaa31bf9e94996e3e6d,2022-03-17,10:51am,Broadway/ Naples St.,CVL22065,Subject Causing Disturbance,cvpd,subject causing disturbance,22065,2022-03-17 10:51:00
3014,32.6066407,-117.0843813,1:18pm,3204c587fa4ced748623786b2668afce,2022-03-18,1:18pm,670 Oxford,L022417,Person Down,cvpd,person down,22417,2022-03-18 13:18:00
3090,32.6097615,-117.0881865,2:59pm,73328a24e3cd4a98801975c649e1be73,2022-03-22,2:59pm,1100 Industrial Blvd.,CVL23551,Subject Causing Disturbance,cvpd,subject causing disturbance,23551,2022-03-22 14:59:00
3120,32.6174227,-117.07166216,1:22pm,bf139998da761f7bf7c7be8dc8a70359,2022-03-22,1:22pm,1200 Broadway,CVL23524,Subject Causing Disturbance,cvpd,subject causing disturbance,23524,2022-03-22 13:22:00
3134,32.7258781,-117.0380741,1:31pm,1670bd39c295e6f59ed1a82e3b9404bf,2022-03-23,1:31pm,2000 Main St.,CVL23802,Fire,cvpd,fire,23802,2022-03-23 13:31:00
3167,32.6091654,-117.081293,11:39am,64098a8ce2bc66da0a4da826ac222553,2022-03-24,11:39am,1120 Broadway,CVL24104,Welfare Check,cvpd,welfare check,24104,2022-03-24 11:39:00
3254,32.6060884,-117.0813389,3:36pm,609ef69d818a37eb97e80d5e6cd4e794,2022-03-31,3:36pm,1210 Broadway,CVL26023,Subject Causing Disturbance,cvpd,subject causing disturbance,26023,2022-03-31 15:36:00
3288,32.6091654,-117.081293,3:13pm,9ffafebe0521bcfe4e5f5107c27bcb81,2022-04-02,3:13pm,1120 Broadway,L026618,Wanted Person,cvpd,wanted person,26618,2022-04-02 15:13:00
3313,32.6174209,-117.07166201,10:34am,a44a932e0e254a492eca05f5ae709d9b,2022-04-03,10:34am,330 Moss St,,,cvpd,,nan,2022-04-03 10:34:00
3341,32.6178394,-117.091341,12:34pm,dc199ef35587bf6ee06698b08a81af60,2022-04-05,12:34pm,I-5/ Palomar St.,CVL27413,Welfare Check,cvpd,welfare check,27413,2022-04-05 12:34:00
3342,32.6066251,-117.0829019,12:06pm,5d8ad0534d6f79977d4424cfeabf101c,2022-04-05,12:06pm,1150 Broadway,CVL27365,Subject Causing Disturbance,cvpd,subject causing disturbance,27365,2022-04-05 12:06:00
3345,32.6099128,-117.0816837,10:05am,257363baf011d9d4b49f848bb8a82abd,2022-04-05,10:05am,1100 Broadway,CVL27358,Suspicious Person,cvpd,suspicious person,27358,2022-04-05 10:05:00
3347,32.6042281,-117.0880386,2:33pm,f29faea591aed56ece5437ffde40d96d,2022-04-05,2:33pm,Palomar St./ Walnut Ave.,CVL27444,Welfare Check,cvpd,welfare check,27444,2022-04-05 14:33:00
3364,32.61743549,-117.0716544,4:30pm,22604105f072e24f7eb92abca3d8c49f,2022-04-07,4:30pm,330 Moss St,,,cvpd,,nan,2022-04-07 16:30:00
3380,32.608699,-117.081237,11:28am,2c4d8228ea9b90c5046e5c7e7e9c3547,2022-04-07,11:28am,1130 Broadway,CVL28003,Welfare Check,cvpd,welfare check,28003,2022-04-07 11:28:00
3381,32.61746208,-117.07166594,2:43pm,79f6aa99fa3ebd8f5713c006e17602d8,2022-04-08,2:43pm,100 Broadway,,415 subject,cvpd,415 subject,nan,2022-04-08 14:43:00
3399,32.61749182,-117.07165373,1:50pm,abf53b96cffeafdb38fa391281689ad9,2022-04-08,1:50pm,330 Moss St,,,cvpd,,nan,2022-04-08 13:50:00
3423,32.5986121,-117.0897856,11:38am,9811803ed678ec720e10cd32799258bd,2022-04-10,11:38am,W Frontage Rd/ Anita St,2204732,Wanted Subject,cvpd,wanted subject,04732,2022-04-10 11:38:00
3442,32.60659,-117.0844,12:49pm,743f4b7fc5d31bd0659328c37b07549d,2022-04-11,12:49pm,670 Oxford St.,CVL29252,Suspicious Person,cvpd,suspicious person,29252,2022-04-11 12:49:00
3448,32.60659,-117.0844,11:23am,197c83321581877131063be1c257f73d,2022-04-11,11:23am,670 Oxford St.,CVL29219,Welfare Check,cvpd,welfare check,29219,2022-04-11 11:23:00
3459,32.603847,-117.0856467,11:24am,ac619e4234738b009017fc0ec3de4f76,2022-04-12,11:24am,1200 INDUSTRIAL BLVD,CVL029536,ATTEMPT VEHICLE THEFT,cvpd,attempt vehicle theft,29536,2022-04-12 11:24:00
3463,32.6112912,-117.081293,8:46am,50ab42bc64f9ed78ce53a5d10bed53d3,2022-04-12,8:46am,1000 BROADWAY ,CVL029479,VEHICLE BURGLARY ,cvpd,vehicle burglary,29479,2022-04-12 08:46:00
3490,32.6099128,-117.0816837,12:43pm,687380976bd8e396562275f1cb60523c,2022-04-14,12:43pm,1100 BROADWAY,cvl030154,DISTURBANCE,cvpd,disturbance,30154,2022-04-14 12:43:00
3510,32.6066251,-117.0829019,6:39pm,02da6abc7f7e8f57ac2ee4cad0a48fa0,2022-04-15,6:39pm,1150 Broadway,L030548,Robbery,cvpd,robbery,30548,2022-04-15 18:39:00
3518,32.61744934,-117.07166499,2:10pm,7153d55a8509d685ae0086e926d53a91,2022-04-15,2:10pm,330 Moss St,,,cvpd,,nan,2022-04-15 14:10:00
3592,32.6066251,-117.0829019,10:22am,44c7730ffba4494541e775cf8aa369d0,2022-04-19,10:22am,1150 Broadway,CVL31528,Subjects Causing Disturbance,cvpd,subjects causing disturbance,31528,2022-04-19 10:22:00
3601,32.6003732,-117.0880503,5:00pm,87f16e1ed1187af9283494aaa60ccc1e,2022-04-20,5:00pm,800 Dorothy St.,CVL32007,Welfare Check,cvpd,welfare check,32007,2022-04-20 17:00:00
3614,32.6066251,-117.0829019,1:02pm,72497104f55ece2646f0fa389833e9fd,2022-04-20,1:02pm,1150 Broadway,CVL31932,Welfare Check,cvpd,welfare check,31932,2022-04-20 13:02:00
3656,32.6173968,-117.0716741,1:22pm,25cc41e631c3a7161e2a44dbebbc3744,2022-04-24,1:22pm,1100 Industrial,L033193,Domestic Violence,cvpd,domestic violence,33193,2022-04-24 13:22:00
3686,32.6067906,-117.0800823,2:01pm,717519c57ce207b460983c7fc96714c3,2022-04-25,2:01pm,600 Oxford St.,CVL33529,Subject Causing Disturbance,cvpd,subject causing disturbance,33529,2022-04-25 14:01:00
3721,32.6090119,-117.08782,4:52pm,129a10f08dda97ded442af91b08519cc,2022-04-28,4:52pm,1100 Industrial Blvd,CVL034564,Suspicious vehicle,cvpd,suspicious vehicle,34564,2022-04-28 16:52:00
3724,32.61743043,-117.07165911,5:16pm,94c5ef1094b9efe255f20a782b72c27f,2022-04-28,5:16pm,330 Moss St,,,cvpd,,nan,2022-04-28 17:16:00
3745,32.6055125,-117.0817067,3:52pm,bbd5f81575619b91446a6cdb6c165f5a,2022-04-30,3:52pm,635 Oxford,L135130,Arson,cvpd,arson,35130,2022-04-30 15:52:00
3861,32.6173932,-117.07165087,11:49am,600f38b1a2bf90f623063abf2efa2ec1,2022-05-03,11:49am,330 Moss St,,,cvpd,,nan,2022-05-03 11:49:00
3862,32.61740135,-117.07164359,9:56am,14c3913a7b88f1edeadeb53cbae7e5f4,2022-05-03,9:56am,330 Moss St,,,cvpd,,nan,2022-05-03 09:56:00
3870,32.6083407,-117.0799139,3:52pm,34ac020284ad67c13bd99dc65f9737a2,2022-05-09,3:52pm,1177 Broadway,CVL37826,Welfare Check,cvpd,welfare check,37826,2022-05-09 15:52:00
3924,32.6099128,-117.0816837,4:46pm,ee2646800bf16e063524454adcaa3ec2,2022-05-13,4:46pm,1100 Broadway,CVL039145,Threats,cvpd,threats,39145,2022-05-13 16:46:00
3930,32.61741202,-117.07164779,10:47am,3d9ec76ec2b56694d68f490977ad4f5f,2022-05-13,10:47am,330 Moss St,,,cvpd,,nan,2022-05-13 10:47:00
3961,32.61740247,-117.07164915,10:36am,0fb403309da88ce677cb4b1fa96b11c8,2022-05-17,10:36am,1000 Jefferson Ave.,CVL40217,Burglary,cvpd,burglary,40217,2022-05-17 10:36:00
3984,32.61740324,-117.07164706,10:02am,2f4c6aeed220701365422f49dc93ec8f,2022-05-19,10:02am,1200 Broadway,CVL40869,Arson,cvpd,arson,40869,2022-05-19 10:02:00
4019,32.6178394,-117.091341,3:53pm,f2ded2c017e15c897661a335d7251f07,2022-05-23,3:53pm,I-5/ Main St.,CVL42144,Fire,cvpd,fire,42144,2022-05-23 15:53:00
4035,32.6098649,-117.0813317,10:43am,5d1ad1fb629b4712ab072fa56bfc5b6c,2022-05-24,10:43am,Broadway/ Naples St.,CVL42340,Suspicious Person,cvpd,suspicious person,42340,2022-05-24 10:43:00
4066,32.599303,-117.0912224,11:24am,21c69842120c678e3c6f5bd5bda29910,2022-05-26,11:24am,Bay Blvd./ Pacific Ave.,CVL42976,Fire,cvpd,fire,42976,2022-05-26 11:24:00
4099,32.6066251,-117.0829019,11:01am,6f206d8368f7b2e60e575e9c332820bc,2022-05-28,11:01am,1150 Broadway,L043619,Theft,cvpd,theft,43619,2022-05-28 11:01:00
4129,32.608699,-117.081237,6:00pm,e77d33504a2457e8d2ebd0c49338dbf5,2022-05-31,6:00pm,1130 Broadway,CVL44480,Subject Causing Disturbance,cvpd,subject causing disturbance,44480,2022-05-31 18:00:00
4151,32.61745746,-117.07165259,5:57pm,281fd9738a822db4ab84c99338dadfb1,2022-06-04,5:57pm,330 Moss St,,,cvpd,,nan,2022-06-04 17:57:00
4170,32.7160449,-117.1639757,2:44pm,80b7dd849ce828c776bbfb54672430b7,2022-06-06,2:44pm,1100 First Ave.,CVL46122,Missing Person At-Risk,cvpd,missing person at-risk,46122,2022-06-06 14:44:00
4245,32.6099128,-117.0816837,1:47pm,bdcb49e03feb5c392a0b64300f84b7bf,2022-06-14,1:47pm,1100 Broadway,CVL48357,Welfare Check,cvpd,welfare check,48357,2022-06-14 13:47:00
4284,32.6217551,-117.0370937,10:17am,27b6c7c9bbf8213cd31d97605283e60d,2022-06-17,10:17am,1200 Broadway,2207841,Robbery,cvpd,robbery,07841,2022-06-17 10:17:00
4285,32.6099128,-117.0816837,11:10am,6f0d59d6746b33d173485bbe372a62bb,2022-06-17,11:10am,1100 Broadway,049199,Welfare Check,cvpd,welfare check,49199,2022-06-17 11:10:00
4301,32.6174342,-117.07166928,6:22pm,38fb5754e18eac2c58e4549e4f93b571,2022-06-18,6:22pm,330 Moss St,L49579,Mental Health call,cvpd,mental health call,49579,2022-06-18 18:22:00
4337,32.6067906,-117.0800823,5:30pm,d1ebf6d65f557064bba7fa9fc7655acc,2022-06-21,5:30pm,600 Oxford St,CVL50478,Domestic Violence,cvpd,domestic violence,50478,2022-06-21 17:30:00
