lat_map,lon_map,time,id,date,time_s,address_map,incident_id,type,department,clean-type,match,drone-date,Incident No.,Date,Description,Priority,Disposition,Call Source,Zip Code,Block Location,Case No,Address,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS (block),Full FIPS (tract),Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code,cfs-date
32.6285364,-117.1045304,4:58pm,9b76cfd8cdc7ef108a20d2a581407111,2021-07-31,4:58pm,900 Bayside Pkwy.,CVL63711,Unknown Problem,cvpd,unknown problem,63711,2021-07-31 16:58:00,210731L00063711,2021-07-31 17:00:28.963,Unknown Problem,2,ASSISTED,citizen,91910,700 BLOCK MARINA PW,,"700 BLOCK MARINA PW, Chula Vista, CA, 91910",32.630106,-117.020464,0.7,street_center,,Vista Oak Pl,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,013414,4005,4,060730134144005,06073013414,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-07-31 17:00:28.963
32.630147,-117.094228,9:35am,d1300d21a24f5b0ea55dd4ae11f6a3f3,2021-08-01,9:35am,745 H St.,CVL63873,Unknown Problem ,cvpd,unknown problem,63873,2021-08-01 09:35:00,210801L00063873,2021-08-01 09:44:20.600,Ensure Safety of Fire and Medical Personnel,2,ASSISTED,citizen,91910,700 BLOCK H ST,,"700 BLOCK H ST, Chula Vista, CA, 91910",32.629658,-117.093538,1,range_interpolation,700,H St,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012600,1002,1,060730126001002,06073012600,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-01 09:44:20.600
32.6408108,-117.0846313,9:34am,1ce4e5174514d620249d0d034a8bc1dc,2021-08-10,9:34am,200 Broadway,CVL66407,Subject Causing Disturbance,cvpd,subject causing disturbance,66407,2021-08-10 09:34:00,210810L00066407,2021-08-10 09:21:31.843,Disturbance - General,3,ASSISTED,citizen,91910,200 BLOCK BROADWAY,,"200 BLOCK BROADWAY, Chula Vista, CA, 91910",32.640691,-117.093693,1,rooftop,200,Broadway,,,Chula Vista,CA,San Diego County,91910,US,San Diego Geographic Information Source - JPA,2022,06,06073,Chula Vista,0613392,012502,2000,2,060730125022000,06073012502,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-10 09:21:31.843
32.6259835,-117.1021617,3:24pm,9229a2a40c70a10f66ceba3724cd4ef0,2021-08-11,3:24pm,550 MARINA PARKWAY,L066849,RECKLESS DRIVING,cvpd,reckless driving,66849,2021-08-11 15:24:00,210811L00066849,2021-08-11 15:28:49.743,Disturbance - General,3,HANDLED NO REPORT,citizen,91910,500 BLOCK MARINA PW,,"500 BLOCK MARINA PW, Chula Vista, CA, 91910",32.630106,-117.020464,0.7,street_center,,Vista Oak Pl,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,013414,4005,4,060730134144005,06073013414,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-11 15:28:49.743
32.626976,-117.106682,9:49am,4583d367a0e1c5e2a480dffa8a9557b3,2021-08-12,9:49am,SD BAY NEAR BAYSIDE PARK,L067052,POSSIBLE DROWNING,cvpd,possible drowning,67052,2021-08-12 09:49:00,210812L00067052,2021-08-12 09:57:11.497,Assist Other Agency,2,HANDLED NO REPORT,citizen,91910,900 BLOCK MARINA WY,,"900 BLOCK MARINA WY, Chula Vista, CA, 91910",32.620655,-117.103911,0.7,street_center,,Marina Way,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012600,1009,1,060730126001009,06073012600,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-12 09:57:11.497
32.630147,-117.094228,3:28pm,62a29b8f50ee5e53192f2e8d7ecb0c59,2021-08-13,3:28pm,745 H St.,CVL67495,Welfare Check,cvpd,welfare check,67495,2021-08-13 15:28:00,210813L00067495,2021-08-13 15:38:14.600,Person Down,2,ASSISTED,citizen,91910,700 BLOCK H ST,,"700 BLOCK H ST, Chula Vista, CA, 91910",32.629658,-117.093538,1,range_interpolation,700,H St,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012600,1002,1,060730126001002,06073012600,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-13 15:38:14.600
32.6292468,-117.0941893,1:39pm,0ab589d8ade5573f6d8cc662bc3337e8,2021-08-13,1:39pm,720 H St.,CVL67454,Subject Causing Disturbance,cvpd,subject causing disturbance,67454,2021-08-13 13:39:00,210813L00067454,2021-08-13 13:35:16.900,Weapon Threat,3,ASSISTED,citizen,91910,700 BLOCK H ST,2110178.0,"700 BLOCK H ST, Chula Vista, CA, 91910",32.629658,-117.093538,1,range_interpolation,700,H St,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012600,1002,1,060730126001002,06073012600,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-13 13:35:16.900
32.6233186,-117.1009034,7:00pm,e4317b0b6118f2db8e3742826b20768f,2021-08-14,7:00pm,600 Marina Pkwy.,CVL67882,Fight,cvpd,fight,67882,2021-08-14 19:00:00,210814L00067882,2021-08-14 19:02:36.443,Assault,2,ASSISTED,citizen,91910,500 BLOCK MARINA PW,,"500 BLOCK MARINA PW, Chula Vista, CA, 91910",32.630106,-117.020464,0.7,street_center,,Vista Oak Pl,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,013414,4005,4,060730134144005,06073013414,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-14 19:02:36.443
32.6298094,-117.0934914,12:50pm,3c0bfe3daf4b3ad101e06a3bcdf6db32,2021-08-14,12:50pm,500 Woodlawn Ave.,CVL67796,Domestic Violence,cvpd,domestic violence,67796,2021-08-14 12:50:00,210814L00067796,2021-08-14 12:59:13.333,Disturbance - General,2,ASSISTED,citizen,91910,500 BLOCK WOODLAWN AV,2110229.0,"500 BLOCK WOODLAWN AV, Chula Vista, CA, 91910",32.629673,-117.093499,1,range_interpolation,500,Woodlawn Ave,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012600,1002,1,060730126001002,06073012600,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-14 12:59:13.333
32.630089,-117.0937271,2:36pm,80dc5cb9ad035ce0647fed4755d96e9b,2021-08-15,2:36pm,695 H St.,CVL68142,Assault,cvpd,assault,68142,2021-08-15 14:36:00,210815L00068142,2021-08-15 14:37:26.507,[Protected Call Type],3,REPORT TAKEN,citizen,91910,600 BLOCK H ST,2110306.0,"600 BLOCK H ST, Chula Vista, CA, 91910",32.631097,-117.089456,1,range_interpolation,600,H St,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012700,2008,2,060730127002008,06073012700,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-08-15 14:37:26.507
