lat_map,lon_map,time,id,date_x,time_s,address_map,incident_id,type,department,clean-type,match,population_exposed,households_exposed,total_blocks,date_y
32.6205961,-117.0718305,4:43pm,a0511e294332448598b0cf58b0ed183b,2023-02-09,4:43pm,L St/ Third Ave,CVL011858,Unknown problem ,cvpd,unknown problem,11858,861.0,326.0,1.0,2023-02-10
32.6450092,-117.0866842,2:23pm,3ea4eda58c39fce3ec1a8962f72c872c,2023-02-09,2:23pm,151 Guava Ave,CVL011811,Suspicious circumstances ,cvpd,suspicious circumstances,11811,5777.0,2289.0,15.0,2023-02-09
32.5931134771895,-117.075493248957,1:27pm,839f55e8746e7d91141c77e6f091d87c,2023-02-09,1:27pm,"27th Street &, Faivre St",,,cvpd,,,50.0,13.0,3.0,2023-02-09
32.6456133,-117.0870003,2:04pm,d8f5a07b8c73af7583677bc23557b793,2023-02-09,2:04pm,100 Guava Ave,CVL011811,Suspicious circumstances ,cvpd,suspicious circumstances,11811,6466.0,2604.0,16.0,2023-02-09
32.6477161,-117.0637551,12:29pm,2adccc56aa72db328879f1fafeaafcb3,2023-02-09,12:29pm,100 Bonita Rd,CVL011785,Person Down ,cvpd,person down,11785,3074.0,1336.0,16.0,2023-02-09
32.6476406,-117.0845894,11:15am,ef31b94b196e6f0504a56afb2466815b,2023-02-09,11:15am,100 Garrett Ave,CV2301848,Domestic Violence ,cvpd,domestic violence,01848,5454.0,2303.0,18.0,2023-02-09
32.6459475,-117.0907569,10:16am,45a472089ff04bbe41a2c7c923591772,2023-02-09,10:16am,500 D St,CVL011725,Domestic Violence Assault ,cvpd,domestic violence assault,11725,3238.0,1249.0,11.0,2023-02-09
32.6432895,-116.9359496,12:36pm,6123f139a01909a8d2327c7f3d446491,2023-02-09,12:36pm,Otay Lakes Rd/ Wueste Rd,CVL011789,Motor vehicle accident ,cvpd,motor vehicle accident,11789,7195.0,2014.0,37.0,2023-02-09
32.6441782,-117.0832951,8:07am,ee218335833d4df37cdc12857ca0d774,2023-02-09,8:07am,Garrett Ave/ E St,CVL011682,Subject causing a disturbance ,cvpd,subject causing a disturbance,11682,1857.0,664.0,8.0,2023-02-09
32.5936816855396,-117.046020414882,12:58am,c741e54f89328a019aa11d62b684e268,2023-02-09,12:58am,130 Palm Ave,,,cvpd,,,1149.0,321.0,3.0,2023-02-09
32.6239971,-117.0867376,8:43am,de0f64f0525e6ade364563b3cb6af076,2023-02-09,8:43am,700 Broadway,CVL011705,Welfare Check ,cvpd,welfare check,11705,3609.0,1361.0,18.0,2023-02-09
32.6178394,-117.091341,3:20pm,e5d47b2cac36aed0eeccd59fddd5d250,2023-02-10,3:20pm,I-5/ E St.,CVL12175,Fire,cvpd,fire,12175,5158.0,2015.0,15.0,2023-02-10
32.625087,-116.9667112,3:05pm,98bd471c7d7d911a1980a24650b0f559,2023-02-10,3:05pm,2015 Birch Rd.,CVL12160,Subjects Causing Disturbance,cvpd,subjects causing disturbance,12160,65.0,25.0,2.0,2023-02-10
32.6186453,-116.9651314,2:58pm,7816a9b7c222f60467e146599672d655,2023-02-10,2:58pm,2000 Stylus St.,CVL12166,Fight,cvpd,fight,12166,851.0,398.0,7.0,2023-02-10
32.6453243,-117.079208,2:06pm,c862a879b8289966db5e4fb81c6d55fd,2023-02-10,2:06pm,200 Del Mar Ave.,CVL12147,Suspicious Person,cvpd,suspicious person,12147,1189.0,583.0,9.0,2023-02-10
32.7106969,-117.161309,1:33pm,feef1d5cfc74022966e36f063aa00719,2023-02-10,1:33pm,500 Fourth Ave.,CVL12144,Suspicious Person,cvpd,suspicious person,12144,3010.0,1339.0,12.0,2023-02-10
32.6409366,-117.0833615,1:17pm,e31ca272c8787ba3c5ed54decc73bb87,2023-02-10,1:17pm,365 F St.,CVL12128,Subject Causing Disturbance,cvpd,subject causing disturbance,12128,978.0,411.0,7.0,2023-02-10
32.6387228294581,-117.013141616182,11:57pm,6482c5a0d06cee990f69fc90e86b30bb,2023-02-10,11:57pm,850 Paseo Ranchero,,,cvpd,,,706.0,231.0,1.0,2023-02-11
32.6036429,-117.0620082,11:58am,a09769d517a9d9ca3087d04c08b75b5d,2023-02-10,11:58am,240 Quintard St,cvl12098,415 Male,cvpd,415 male,12098,7106.0,2594.0,9.0,2023-02-10
32.5955785,-117.0317787,10:32am,a2f13f63a01ba29b1c4b8f7c58103c79,2023-02-10,10:32am,505 Main St,cvl12087,Susp Veh,cvpd,susp veh,12087,4465.0,1365.0,9.0,2023-02-10
32.64019,-117.0975491,9:42am,60c20dfd93f226fdb23894ce0a922a34,2023-02-10,9:42am,200 Woodlawn Ave,CVL12062 ,Unk Problem,cvpd,unk problem,12062,8148.0,3321.0,16.0,2023-02-10
32.6928144,-117.1316071,8:04am,cf3f4cab58de20af3f713152eb1e0859,2023-02-10,8:04am,2900 Main St.,CVL012031,Unknown Problem,cvpd,unknown problem,12031,12898.0,4617.0,20.0,2023-02-10
32.5936954708483,-117.065091548586,1:14am,dd17dc3a4da53d6a28bd7a8d9b2a3574,2023-02-10,1:14am,1771 4th Ave,,,cvpd,,,35.0,2.0,1.0,2023-02-10
32.6366103306848,-117.086467949819,12:04am,eb7f60f952de396daf563fd0a3eaa047,2023-02-10,12:04am,488 Park Way,,,cvpd,,,5756.0,2254.0,7.0,2023-02-10
32.636425,-117.087051,12:02am,2d7ae1aa2aac2ae9b152ef519b9ac501,2023-02-10,12:02am,500 Park Way,2301877,Robbery,cvpd,robbery,01877,,,,
32.6046023,-117.0828099,12:16pm,160177ec38ddf334e3d3e914fa7c83c9,2023-02-10,12:16pm,657 Palomar St.,CVL012114,Robbery,cvpd,robbery,12114,9057.0,3050.0,13.0,2023-02-10
32.5925766,-117.0391423,4:03pm,d7ba3a3c770fe4ff22b063e44d30c8ca,2023-02-11,4:03pm,300 Rancho Dr.,CVL12508,LoJack,cvpd,lojack,12508,2599.0,848.0,5.0,2023-02-12
32.5925766,-117.0391423,3:29pm,cd4c59f06a131d8c6036c26bc6589675,2023-02-11,3:29pm,300 Rancho Dr.,CVL12508,LoJack,cvpd,lojack,12508,1374.0,454.0,1.0,2023-02-11
32.6413353,-117.0935216,1:50pm,45ff3c5f439e079aa0f0d4ae6c720cd6,2023-02-11,1:50pm,Broadway/ E St.,CVL12480,Domestic Violence,cvpd,domestic violence,12480,,,,
32.6196767,-117.0850599,1:35pm,3732d16d83de23e682d9ccc56ab0743f,2023-02-11,1:35pm,00 Broadway,CVL12478,Suspicious Person,cvpd,suspicious person,12478,8794.0,3360.0,32.0,2023-02-11
32.5987223,-117.035687,12:55pm,cd7360fa2ffe05368a0aad4709c6d803,2023-02-11,12:55pm,1600 Ocala Ave.,CVL12469,Vandalism,cvpd,vandalism,12469,7014.0,2108.0,22.0,2023-02-11
32.5957774,-117.0602998,12:31pm,2559d124f6c1147557264df38cb56379,2023-02-11,12:31pm,200 Zenith St.,CVL12421,Trespassing,cvpd,trespassing,12421,11984.0,4172.0,17.0,2023-02-11
32.7166241,-117.1616064,11:49am,005fd839070c882a7c634c1a7081b70b,2023-02-11,11:49am,1000 Fourth Avenue,cvl12456,Hit and Run,cvpd,hit and run,12456,2326.0,842.0,2.0,2023-02-11
32.5996039,-117.0353056,9:44am,70eb4bc48c17af15d31d1aebb1e84cca,2023-02-11,9:44am,400 Tilia Ct,cvl12428,tro violation,cvpd,tro violation,12428,4855.0,1497.0,11.0,2023-02-11
32.6459185,-117.0641919,10:33am,f9d7ff1260f49000da0ef86a2d4bc432,2023-02-11,10:33am,200 Bonita Glen Dr.,cvl12441,DV,cvpd,dv,12441,4581.0,1941.0,23.0,2023-02-11
32.6138386,-117.0737281,10:07am,95d108f2631cc42580b8366240e62b06,2023-02-11,10:07am,400 nickman Street,cvl12434,unknown problem,cvpd,unknown problem,12434,2503.0,903.0,3.0,2023-02-11
32.610188,-117.054176,9:28am,c1e5a4ee48e22fadb0147906ecbac19b,2023-02-11,9:28am,1300 Hilltop Drive,cvl12411,911 hangup,cvpd,911 hangup,12411,7005.0,2242.0,21.0,2023-02-11
32.6198156,-117.0861013,8:47am,ee671e8db0d4b373ac1dbf58255b3833,2023-02-11,8:47am,815 Riverlawn Avenue,cvl12414,TRO violation,cvpd,tro violation,12414,3051.0,1130.0,11.0,2023-02-11
32.6031175,-117.0788158,8:02am,77ab0c0f921debe7927d6ac292e9c689,2023-02-11,8:02am,600 Palomar Street,cvl12403,314 subject,cvpd,314 subject,12403,8226.0,2802.0,11.0,2023-02-11
32.6358395,-117.0992223,4:38am,1d61d334e8baca387a6f9a7bd86d89da,2023-02-11,4:38am,,,,cvpd,,,,,,
